"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.770832548E-5,9.831903816E-1,5.278810742E-1,-1.624964619E-1,1.127708675E0
9.873291667E-3,1.026697613E0,5.974949540E-1,-1.075080764E-1,1.192755715E0
1.984429167E-2,8.808331174E-1,6.304030837E-1,-1.301876718E-1,1.090973812E0
2.981529167E-2,9.878729050E-1,6.636542988E-1,-1.815542918E-1,1.203865385E0
3.978629167E-2,1.180892563E0,7.574725816E-1,-2.621236610E-1,1.427228353E0
4.975829167E-2,1.237008000E0,8.947852318E-1,-2.661167246E-1,1.549724980E0
5.972929166E-2,1.524167684E0,8.290926410E-1,-1.955893636E-1,1.746063268E0
6.970029167E-2,1.772624794E0,9.654207663E-1,-8.193469405E-2,2.020135939E0
7.967129166E-2,1.713169136E0,1.271481137E0,6.564552069E-2,2.134460612E0
8.964229167E-2,2.040612189E0,1.127743566E0,1.140552038E-1,2.334290523E0
9.961329166E-2,1.941678470E0,1.097204582E0,2.109880060E-1,2.240198454E0
1.095842917E-1,1.596972243E0,7.983592370E-1,2.475687718E-1,1.802494969E0
1.195552917E-1,1.663682834E0,9.360066403E-1,3.789264715E-1,1.946158851E0
1.295262917E-1,1.643352504E0,1.084402103E0,3.826499784E-1,2.005730884E0
1.394972917E-1,1.553148677E0,1.003491695E0,3.756286418E-1,1.886892491E0
1.494682917E-1,1.535439362E0,9.882548743E-1,3.695136237E-1,1.862998134E0
1.594392917E-1,1.608955235E0,9.207452613E-1,2.702460283E-1,1.873377084E0
1.694102917E-1,1.677580935E0,8.412007628E-1,1.758760607E-1,1.884894932E0
1.793812917E-1,1.632040919E0,7.365303402E-1,1.275646108E-1,1.795078615E0
1.893553750E-1,1.560299676E0,6.010521077E-1,9.099787831E-2,1.674538542E0
1.993263750E-1,1.374681569E0,4.760927238E-1,5.391132832E-2,1.455788491E0
2.092973750E-1,1.323147719E0,4.548288855E-1,-1.930048943E-2,1.399271850E0
2.192683750E-1,1.323291999E0,4.196543750E-1,-4.419734895E-2,1.388943813E0
2.292393750E-1,1.233614422E0,3.307540391E-1,-1.077641845E-1,1.281723799E0
2.392103750E-1,1.348102320E0,2.224013324E-1,-2.575049454E-1,1.390378011E0
2.491813750E-1,1.478128316E0,1.996813913E-1,-4.566365522E-1,1.559888752E0
2.591523750E-1,1.555037182E0,1.981831884E-1,-6.721497184E-1,1.705638431E0
2.691233750E-1,1.573192640E0,2.799816424E-1,-8.968137771E-1,1.832375440E0
2.790943750E-1,1.552777525E0,4.757073922E-1,-1.085927934E0,1.953626127E0
2.890653750E-1,1.578272117E0,6.648054694E-1,-1.212993777E0,2.098633625E0
2.990363750E-1,1.678925648E0,7.674542172E-1,-1.217417196E0,2.211307744E0
3.090073750E-1,1.464421419E0,6.585985038E-1,-8.660457283E-1,1.824367640E0
3.189783750E-1,5.575489694E-1,1.736280987E-1,-7.591714901E-1,9.577833373E-1
3.289493750E-1,-2.700668111E-2,-1.301628211E-1,-9.993645841E-1,1.008167294E0
3.389203750E-1,-2.620400459E-1,-1.812755258E-1,-1.136846073E0,1.180654393E0
3.488923750E-1,-9.005681281E-1,-3.030692272E-1,-1.091578099E0,1.447209955E0
3.588633750E-1,-1.411997476E0,-2.309980550E-1,-1.244941210E0,1.896569427E0
3.688343750E-1,-1.448170691E0,-1.605820835E-2,-1.477016614E0,2.068582678E0
3.788053750E-1,-1.647152902E0,-1.557423431E-1,-1.645495362E0,2.333457380E0
3.887763750E-1,-1.983765851E0,-4.337056728E-1,-1.636742665E0,2.608132304E0
3.987473750E-1,-2.299139228E0,-6.453925672E-1,-1.245009037E0,2.693068929E0
4.087183750E-1,-2.822438132E0,-8.909792791E-1,-8.123957705E-1,3.069199891E0
4.186893750E-1,-3.343965914E0,-1.173511916E0,-5.825896704E-1,3.591468916E0
4.286603750E-1,-3.470766293E0,-1.588436185E0,-6.446871006E-1,3.871042448E0
4.386313750E-1,-3.389272772E0,-1.920788999E0,-6.179156238E-1,3.944416309E0
4.486023750E-1,-3.442487404E0,-2.236941226E0,-3.795579708E-1,4.122946741E0
4.585733750E-1,-3.507126912E0,-2.564429741E0,-3.809835219E-1,4.361351570E0
4.685443750E-1,-3.264401096E0,-2.576127681E0,-4.074509436E-1,4.178368655E0
4.785153750E-1,-2.834039007E0,-2.377065656E0,-4.267730677E-1,3.723486737E0
4.884863750E-1,-2.729125925E0,-2.192757910E0,-3.786826426E-1,3.521323063E0
4.984573750E-1,-2.950261189E0,-2.100930019E0,-4.400117487E-1,3.648500839E0
5.084283750E-1,-2.587380062E0,-1.679882838E0,-6.651500165E-1,3.155783022E0
5.183993750E-1,-1.889984406E0,-1.248465326E0,-9.353837657E-1,2.450642674E0
5.283703750E-1,-1.458001030E0,-9.790729916E-1,-1.084380176E0,2.064032774E0
5.383413750E-1,-1.286095083E0,-7.802010012E-1,-1.146862938E0,1.891573092E0
5.483123750E-1,-1.210676233E0,-6.836546999E-1,-1.174019746E0,1.819737084E0
5.582833750E-1,-1.348925169E0,-6.248369730E-1,-1.025491698E0,1.806004866E0
5.682543750E-1,-1.834219071E0,-5.393913183E-1,-8.601552433E-1,2.096465988E0
5.782253750E-1,-1.847539906E0,-3.024212095E-1,-7.956312186E-1,2.034180751E0
5.881963750E-1,-1.394664136E0,-2.235390544E-3,-7.721949935E-1,1.594170053E0
5.981673750E-1,-9.904484573E-1,1.760096696E-1,-6.812848234E-1,1.214955374E0
6.081383750E-1,-8.856654757E-1,2.903394002E-1,-5.641118842E-1,1.089459738E0
6.181093750E-1,-7.439418322E-1,3.450234380E-1,-4.890084922E-1,9.547878968E-1
6.280803750E-1,-5.022299239E-1,5.572153857E-1,-4.905164891E-1,8.962869567E-1
6.380513750E-1,-1.062019546E-1,8.506845081E-1,-5.914306605E-1,1.041505263E0
6.480223750E-1,2.541711554E-1,8.768113294E-1,-6.348134923E-1,1.111930418E0
6.579933750E-1,5.396176055E-1,7.211093321E-1,-4.263661015E-1,9.964807482E-1
6.679643750E-1,5.013418780E-1,4.657120156E-1,-9.063242733E-2,6.902503872E-1
6.779363750E-1,1.704024822E-3,8.820437104E-2,-1.254660451E-1,1.533774535E-1
6.879073750E-1,-9.326031223E-2,8.047318250E-2,-3.769729167E-1,3.965879460E-1
6.978783750E-1,-6.784816682E-3,4.156048858E-1,-6.194727373E-1,7.460026321E-1
7.078493750E-1,-2.792561491E-1,5.978511956E-1,-7.646585172E-1,1.010006286E0
7.178203750E-1,-9.198779730E-1,4.414416853E-1,-9.962082571E-1,1.426000399E0
7.277913750E-1,-1.564597818E0,3.617397505E-1,-1.370283878E0,2.111042370E0
7.377623750E-1,-2.094376899E0,5.325068066E-1,-1.636913989E0,2.710989764E0
7.477333750E-1,-2.513470672E0,6.827425343E-1,-1.732338209E0,3.128045373E0
7.577043750E-1,-2.969660497E0,7.124721175E-1,-1.944837136E0,3.620620315E0
7.676753750E-1,-3.384773924E0,6.795215955E-1,-2.242610101E0,4.116763800E0
7.776463750E-1,-3.926569325E0,4.724278352E-1,-2.527925574E0,4.693776990E0
7.876173750E-1,-4.614370870E0,2.840361017E-1,-2.737348280E0,5.372724694E0
7.975883750E-1,-5.258524413E0,1.536434850E-1,-2.933475003E0,6.023367904E0
8.075593750E-1,-5.917788622E0,-1.127027428E-1,-3.387949839E0,6.819906758E0
8.175303750E-1,-6.398395835E0,-1.749217951E-1,-3.910140111E0,7.500617480E0
8.275013750E-1,-6.719042523E0,-2.606893390E-2,-3.885633845E0,7.761724190E0
8.374723750E-1,-7.516306869E0,-1.294573545E-3,-3.415586119E0,8.255973544E0
8.474433750E-1,-8.121242843E0,1.146434337E-2,-3.507123696E0,8.846164896E0
8.574143750E-1,-7.800574520E0,-2.428670257E-2,-4.015457236E0,8.773451402E0
8.673853750E-1,-7.237741422E0,7.590884596E-2,-4.465683485E0,8.504880483E0
8.773563750E-1,-7.322875128E0,5.748485416E-2,-4.535272953E0,8.613739339E0
8.873273750E-1,-7.535040178E0,-2.230712771E-3,-4.386909211E0,8.719048566E0
8.972983750E-1,-7.088376637E0,1.691804141E-2,-4.362442414E0,8.323236954E0
9.072693750E-1,-6.113315420E0,2.005036560E-1,-4.515576315E0,7.602845296E0
9.172403750E-1,-5.342862312E0,-1.227824655E-1,-4.871555388E0,7.231411005E0
9.272113750E-1,-4.633117336E0,-7.241721037E-1,-5.048957280E0,6.890730810E0
9.371823750E-1,-3.714870590E0,-8.818951911E-1,-4.919048520E0,6.226960814E0
9.471533750E-1,-3.011215489E0,-8.254531878E-1,-4.991410738E0,5.887526886E0
9.571253750E-1,-2.575844675E0,-9.885893351E-1,-5.010502481E0,5.719914316E0
9.670963750E-1,-2.270839874E0,-1.253019430E0,-4.667015399E0,5.339270003E0
9.770673750E-1,-1.831795254E0,-1.361959198E0,-4.517153016E0,5.061134071E0
9.870383750E-1,-1.627159079E0,-1.590682686E0,-4.579428202E0,5.113617187E0
9.970093750E-1,-1.415172953E0,-1.728652124E0,-4.266009257E0,4.815577601E0
1.006980375E0,-8.552465057E-1,-1.641753729E0,-3.844391094E0,4.266865920E0
1.016951375E0,-3.866734475E-1,-1.367358809E0,-3.200508863E0,3.501777184E0
1.026922375E0,-2.628563172E-1,-1.369704712E0,-2.723985638E0,3.060274856E0
1.036893375E0,-4.259708297E-1,-1.804406019E0,-2.940233214E0,3.475960815E0
1.046864375E0,-2.568132198E-1,-2.103000518E0,-3.166267861E0,3.809700300E0
1.056835375E0,3.092954886E-1,-1.805141599E0,-2.434551387E0,3.046512817E0
1.066806375E0,6.898363763E-1,-1.719900889E0,-2.017576791E0,2.739443265E0
1.076777375E0,1.129287377E0,-2.014639150E0,-2.352655284E0,3.296823891E0
1.086748375E0,1.417612996E0,-2.915119131E0,-2.476731446E0,4.079429471E0
1.096719375E0,1.645594180E0,-3.572058195E0,-2.097374620E0,4.457191969E0
1.106690375E0,1.918749783E0,-4.045364574E0,-1.848852167E0,4.844050950E0
1.116661375E0,2.303847406E0,-5.032639455E0,-1.841029177E0,5.833057619E0
1.126632375E0,2.370973442E0,-5.578095213E0,-1.497377204E0,6.243300390E0
1.136603375E0,2.762858512E0,-5.774535931E0,-1.163949671E0,6.506414621E0
1.146574375E0,3.174886656E0,-6.162587568E0,-4.372828531E-1,6.946121731E0
1.156545375E0,2.724125386E0,-6.698564989E0,4.993814528E-1,7.248518046E0
1.166516375E0,2.235323886E0,-6.976793636E0,1.389977301E0,7.456833055E0
1.176487375E0,2.461714627E0,-7.157707073E0,2.107625958E0,7.857155760E0
1.186457875E0,2.743600123E0,-7.285322555E0,2.533851142E0,8.186798396E0
1.196428875E0,3.247230747E0,-7.159377038E0,2.249599863E0,8.176911803E0
1.206399875E0,4.001930872E0,-6.864344662E0,1.656636647E0,8.116595550E0
1.216370875E0,4.552329866E0,-6.668355349E0,1.117660189E0,8.151063401E0
1.226341875E0,4.911654131E0,-6.319934387E0,3.221669644E-1,8.010599760E0
1.236312875E0,5.342966393E0,-5.912796854E0,-4.650734997E-1,7.982778330E0
1.246283875E0,6.093039615E0,-5.843444783E0,-1.104074768E0,8.514103580E0
1.256254875E0,6.508910549E0,-5.914403084E0,-1.465484151E0,8.915925312E0
1.266225875E0,6.502216657E0,-5.971171947E0,-1.457095735E0,8.947449013E0
1.276196875E0,6.848181204E0,-6.006914806E0,-1.113623271E0,9.177187373E0
1.286167875E0,6.605697756E0,-6.082139820E0,-4.705125797E-1,8.991609963E0
1.296138875E0,5.810313290E0,-6.196827693E0,-6.959005237E-2,8.495013641E0
1.306109875E0,5.282062379E0,-6.616006397E0,1.138651693E-1,8.466681103E0
1.316080875E0,4.967636544E0,-6.629708762E0,2.246430087E-1,8.287394982E0
1.326051875E0,4.746664417E0,-6.543262941E0,1.956431580E-1,8.085999583E0
1.336022875E0,4.588781993E0,-6.476818106E0,-4.456736076E-1,7.950139491E0
1.345993875E0,4.697552483E0,-6.296059620E0,-1.698343667E0,8.036898487E0
1.355964875E0,5.066384321E0,-5.790878314E0,-3.116416254E0,8.301480110E0
1.365935875E0,5.413113685E0,-4.960491831E0,-4.439724771E0,8.580176864E0
1.375906875E0,6.140570462E0,-4.375034393E0,-5.572640930E0,9.375599100E0
1.385877875E0,6.437654040E0,-4.651828426E0,-6.386209652E0,1.019149503E1
1.395848875E0,5.901260882E0,-5.344446323E0,-6.589967576E0,1.033516614E1
1.405819875E0,5.075925808E0,-6.030453358E0,-6.122292650E0,9.980674216E0
1.415790875E0,4.393369800E0,-6.689217630E0,-5.142807430E0,9.512927991E0
1.425761875E0,3.625176056E0,-7.436619844E0,-3.985363371E0,9.183046191E0
1.435732875E0,2.568442100E0,-7.869118506E0,-3.124890039E0,8.847873114E0
1.445703875E0,1.608712867E0,-7.852472067E0,-2.949842529E0,8.541126718E0
1.455674875E0,7.821674198E-1,-7.790384578E0,-3.495258526E0,8.574305214E0
1.465645875E0,3.569766086E-1,-8.098092547E0,-4.003311984E0,9.040632834E0
1.475616875E0,2.487879163E-1,-8.311518842E0,-4.432968898E0,9.423080926E0
1.485588875E0,-8.264337659E-2,-8.846156082E0,-4.895771340E0,1.011087950E1
1.495559875E0,-8.785576004E-1,-9.654659945E0,-5.585326465E0,1.118839550E1
1.505530875E0,-1.747831576E0,-1.011518256E1,-6.157523294E0,1.197025173E1
1.515500875E0,-2.587074838E0,-1.024762199E1,-6.468948923E0,1.239169128E1
1.525472875E0,-3.900624937E0,-1.015977225E1,-7.013584317E0,1.294705419E1
1.535443875E0,-5.462141418E0,-1.007050632E1,-7.930123091E0,1.393330322E1
1.545414875E0,-6.211735754E0,-1.088673085E1,-9.308262704E0,1.561250538E1
1.555384875E0,-6.047361751E0,-1.262634182E1,-1.058305570E1,1.754981937E1
1.565356875E0,-5.704099787E0,-1.550496468E1,-1.156096393E1,2.016423991E1
1.575327875E0,-5.429250246E0,-1.999512461E1,-1.292176889E1,2.441831029E1
1.585298875E0,-5.028469806E0,-2.527397921E1,-1.426383235E1,2.945363215E1
1.595269875E0,-4.850349584E0,-3.047446007E1,-1.492107927E1,3.427619019E1
1.605240875E0,-5.943497075E0,-3.645383682E1,-1.471611565E1,3.975891644E1
1.615211875E0,-1.097290010E1,-4.312347739E1,-1.258140714E1,4.624208737E1
1.625181875E0,-1.547839143E1,-5.009436417E1,-1.140821361E1,5.365792822E1
1.635153875E0,-1.566401012E1,-5.711994347E1,-1.014363277E1,6.009111782E1
1.645124875E0,-1.222187822E1,-6.117496413E1,-9.544848651E0,6.310986198E1
1.655095875E0,-8.154288967E0,-6.128702953E1,-1.009619080E1,6.264603328E1
1.665066875E0,-6.453198279E0,-6.092573709E1,-1.118157670E1,6.227854258E1
1.675037875E0,-4.963174533E0,-5.924903631E1,-1.495658824E1,6.130889769E1
1.685008875E0,-5.296916646E0,-5.573986024E1,-2.033886137E1,5.957061883E1
1.694979875E0,-6.768216437E0,-5.443198779E1,-2.686373657E1,6.107626700E1
1.704950875E0,-1.174845256E1,-5.511020399E1,-3.464809735E1,6.614870650E1
1.714921875E0,-2.359130023E1,-5.239566453E1,-3.066433787E1,6.513184110E1
1.724892875E0,-3.941007913E1,-4.824247613E1,-1.119663913E1,6.329182860E1
1.734863875E0,-4.602479095E1,-5.353485651E1,-3.751100523E0,7.069888966E1
1.744834875E0,-5.351684708E1,-7.140439661E1,-6.373881383E0,8.946098110E1
1.754805875E0,-5.287083266E1,-7.810279378E1,-1.251711584E1,9.514225944E1
1.764776875E0,-4.693681159E1,-7.833086326E1,-1.789723836E1,9.305428287E1
1.774747875E0,-5.014055717E1,-7.946306196E1,-3.434474848E1,1.000400692E2
1.784718875E0,-2.532796304E1,-8.040292937E1,-6.981873931E1,1.094568094E2
1.794689875E0,1.174534535E1,-6.598089827E1,-8.547834063E1,1.086185011E2
1.804660875E0,3.983110205E1,-6.043506682E-2,-8.041122774E1,8.973564448E1
1.814631875E0,-2.517650846E0,1.488072179E1,-5.737684206E1,5.932854668E1
1.824602875E0,-5.058218100E1,-1.002995822E1,-1.903829326E1,5.496920690E1
1.834573875E0,-6.806736257E1,-4.284182403E1,1.038386095E1,8.109508186E1
1.844544875E0,-3.968701262E1,-5.586859722E1,-4.670910814E-1,6.853157885E1
1.854515875E0,-1.400022116E1,-4.186198038E1,-4.308923610E1,6.168560497E1
1.864486875E0,6.412443770E0,-3.423018515E1,-6.180097640E1,7.093790027E1
1.874457875E0,3.125632401E1,-1.993328212E1,-5.574659623E1,6.694756544E1
1.884428875E0,3.538501024E1,-1.074441430E1,-4.553113626E1,5.865684749E1
1.894399875E0,2.284277711E1,-1.909522058E1,-3.682719324E1,4.735675323E1
1.904370875E0,1.713118294E1,-1.943069756E1,-2.451965331E1,3.566851322E1
1.914341875E0,1.006866094E1,-1.852708406E1,-1.533249755E1,2.607136855E1
1.924312875E0,6.344763418E0,-1.869005882E1,-1.384753983E1,2.411075861E1
1.934283875E0,6.571691519E0,-1.745705412E1,-1.652923899E1,2.492291334E1
1.944254875E0,6.116161845E0,-1.456823723E1,-2.010533293E1,2.557079162E1
