"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.876250026E-4,6.836094936E-2,6.439684778E-3,1.326739079E-1,1.493889379E-1
9.783375004E-3,-1.618420488E-1,4.206063017E-2,1.813981712E-1,2.467128734E-1
1.975437500E-2,-3.302546869E-1,4.770947903E-2,1.534689456E-1,3.672833646E-1
2.972537500E-2,-2.957268602E-1,1.922497264E-1,5.291086972E-2,3.566705669E-1
3.969637500E-2,-1.978386047E-1,2.857702397E-1,-6.795400143E-2,3.541503773E-1
4.966737500E-2,-2.481933458E-1,3.169329755E-1,-8.167917073E-2,4.107528878E-1
5.963837501E-2,-2.878866759E-1,3.431347874E-1,-7.512561142E-2,4.541630522E-1
6.960937500E-2,-2.026358797E-1,3.837046699E-1,-5.804881811E-2,4.377901766E-1
7.958037501E-2,-1.865430997E-1,3.935057728E-1,3.349869847E-3,4.354955142E-1
8.955137500E-2,-1.447195558E-1,3.739025438E-1,4.912772119E-2,4.039311762E-1
9.952237501E-2,-1.276427991E-1,3.772518289E-1,8.931154132E-2,4.081521505E-1
1.094933750E-1,-1.598385734E-1,3.817057993E-1,1.121794170E-1,4.287562342E-1
1.194643750E-1,-1.352744753E-1,4.156228660E-1,9.390686810E-2,4.470570996E-1
1.294353750E-1,-3.614301039E-2,4.807949084E-1,6.671322227E-2,4.867450207E-1
1.394063750E-1,-1.270019260E-1,4.522876856E-1,1.531923723E-1,4.941270511E-1
1.493773750E-1,-2.418531003E-1,3.407388908E-1,1.940743500E-1,4.607176653E-1
1.593493750E-1,-1.166673378E-1,4.347743976E-1,1.537402564E-1,4.756848862E-1
1.693203750E-1,-1.468450736E-1,4.616772906E-1,2.181964535E-1,5.313370763E-1
1.792913750E-1,-3.378771538E-1,2.522309031E-1,2.493831629E-1,4.898707599E-1
1.892623750E-1,-2.075462618E-1,3.673406522E-1,2.602636617E-1,4.957335768E-1
1.992333750E-1,9.048822038E-3,4.648033583E-1,2.082374758E-1,5.093985565E-1
2.092043750E-1,9.145977180E-2,3.668066552E-1,2.359415835E-1,4.456236562E-1
2.191753750E-1,-4.833867598E-2,3.609660177E-1,2.401001233E-1,4.362122909E-1
2.291463750E-1,-3.559784889E-2,4.038426268E-1,1.499261177E-1,4.322428887E-1
2.391173750E-1,2.365743253E-1,4.898858669E-1,5.304944873E-2,5.465984066E-1
2.490883750E-1,3.418517255E-1,5.233297478E-1,5.756057560E-2,6.277338983E-1
2.590593750E-1,4.119156582E-1,5.771744178E-1,9.290582478E-2,7.151477542E-1
2.690333750E-1,6.452640747E-1,6.078543198E-1,1.706451416E-2,8.866475048E-1
2.790043750E-1,9.732481416E-1,6.064865099E-1,-4.763317287E-2,1.147739845E0
2.889753750E-1,1.300466662E0,5.992920958E-1,-1.467259365E-1,1.439407189E0
2.989463750E-1,1.742430211E0,7.191088535E-1,-2.976946127E-1,1.908350771E0
3.089173750E-1,2.240035864E0,8.869422153E-1,-4.731724781E-1,2.455263603E0
3.188883750E-1,2.762151876E0,1.083841940E0,-6.877185148E-1,3.045841935E0
3.288593750E-1,3.151033525E0,1.385239156E0,-8.408366275E-1,3.543290283E0
3.388303750E-1,3.308483255E0,1.579169080E0,-9.622897285E-1,3.790229274E0
3.488013750E-1,3.441277908E0,1.787871409E0,-1.051550399E0,4.018038832E0
3.587723750E-1,3.586273361E0,1.978844980E0,-1.134641672E0,4.250246558E0
3.687433750E-1,3.656713306E0,2.093421756E0,-1.116247501E0,4.358896114E0
3.787143750E-1,3.523026953E0,2.071216370E0,-1.022068153E0,4.212633318E0
3.886853750E-1,3.071491804E0,1.869131334E0,-4.760680193E-1,3.626893244E0
3.986563750E-1,2.049535771E0,1.161879026E0,-1.914238071E-1,2.363726469E0
4.086273750E-1,1.512116573E0,8.796434283E-1,1.720894039E-2,1.749447123E0
4.185983750E-1,9.717758127E-1,6.225036415E-1,3.962745756E-1,1.220201849E0
4.285693750E-1,3.917217873E-1,2.971271405E-1,3.127137709E-1,5.826837897E-1
4.385403750E-1,1.057480645E-1,-4.022767425E-2,1.840159696E-1,2.160157309E-1
4.485113750E-1,-8.119911432E-2,-4.081224963E-2,3.141732359E-1,3.270531425E-1
4.584823750E-1,-1.774185562E-1,2.389141618E-1,4.899422926E-1,5.732370983E-1
4.684533750E-1,-2.216993742E-1,3.184895043E-1,5.767015243E-1,6.951049021E-1
4.784243750E-1,-3.201973298E-1,3.285607485E-1,6.027362520E-1,7.574757322E-1
4.883963750E-1,-3.292014572E-1,3.869361337E-1,4.753792173E-1,6.957575520E-1
