sep=,
DeviceTag:,RW2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-04-30_18:09:11_146 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,647743173,-143.152802,-8.255338,57.168606,-0.123604,0.148049,0.363908,0
2,647759840,-143.053009,-8.360423,57.166794,-0.278202,0.199475,0.351883,0
3,647776507,-142.775909,-8.422824,57.018387,-0.282339,0.118076,0.248233,0
4,647793174,-142.518433,-8.388737,56.854473,-0.284216,0.105086,0.215842,0
5,647809841,-142.291260,-8.354355,56.636589,-0.242474,0.181999,0.111783,0
6,647826508,-142.072769,-8.411919,56.348217,-0.188045,-0.011377,-0.025670,0
7,647843175,-141.947052,-8.480759,56.096786,-0.104502,-0.159829,0.000794,0
8,647859842,-141.896057,-8.536331,55.915295,-0.121517,-0.300120,0.138881,0
9,647876509,-141.877838,-8.578013,55.759220,0.008491,-0.278534,0.265929,0
10,647893176,-141.882401,-8.607986,55.634991,0.211892,-0.352424,0.321235,0
11,647909843,-141.938782,-8.638305,55.543072,0.241160,-0.416781,0.412322,0
12,647926510,-142.014252,-8.674536,55.474159,0.263883,-0.372250,0.446383,0
13,647943177,-142.100037,-8.708950,55.444729,0.272237,-0.368438,0.469257,0
14,647959844,-142.186798,-8.741124,55.430599,0.173322,-0.253855,0.565635,0
15,647976511,-142.248672,-8.772559,55.447933,0.157028,-0.269244,0.628032,0
16,647993178,-142.288605,-8.792816,55.462765,0.145380,-0.155565,0.556563,0
17,648009845,-142.327744,-8.808936,55.448124,0.123925,-0.121821,0.473732,0
18,648026512,-142.397385,-8.806392,55.427101,0.066123,-0.148484,0.414048,0
19,648043179,-142.460205,-8.812676,55.404930,0.013102,-0.075105,0.353446,0
20,648059846,-142.528366,-8.803271,55.406715,-0.111389,-0.078532,0.360711,0
21,648076513,-142.579910,-8.792405,55.412254,-0.072929,0.119299,0.326323,0
22,648093180,-142.617508,-8.788723,55.383636,0.057177,0.133705,0.420412,0
23,648109847,-142.656876,-8.779125,55.334633,0.149434,0.101693,0.363071,0
24,648126514,-142.688477,-8.786594,55.265125,0.164789,0.079056,0.399776,0
25,648143181,-142.713364,-8.800374,55.177402,0.028210,-0.144163,0.369226,0
26,648159848,-142.719528,-8.830508,55.120899,-0.020840,-0.284422,0.315926,0
27,648176515,-142.728500,-8.935360,55.118458,0.157726,-0.531764,0.301685,0
28,648193182,-142.766922,-9.084641,55.189911,0.045767,-1.308542,0.539671,0
29,648209849,-142.800232,-9.203254,55.343086,-0.022499,-1.913755,0.728884,0
30,648226516,-142.779953,-9.211451,55.558899,-0.119335,-2.727042,0.638017,0
31,648243183,-142.652649,-9.145384,55.853085,0.208766,-3.167157,0.409039,0
32,648259850,-142.516830,-9.056870,56.236374,0.879818,-3.901995,0.072492,0
33,648276517,-142.438431,-9.001632,56.762016,0.986760,-4.004873,0.275338,0
34,648293184,-142.350983,-8.961439,57.439003,0.718398,-3.999504,0.625054,0
35,648309851,-142.176514,-8.850754,58.263119,0.609241,-4.013213,0.793545,0
36,648326518,-141.872971,-8.684631,59.180866,0.831916,-3.877265,0.740738,0
37,648343185,-141.512100,-8.494411,60.199558,1.447008,-4.143629,0.271025,0
38,648359852,-141.222168,-8.317333,61.310661,1.889587,-4.211355,-0.004755,0
39,648376519,-141.020233,-8.175264,62.531326,2.175700,-4.489793,-0.167681,0
40,648393186,-140.902740,-8.040116,63.851204,2.132997,-4.748647,-0.199652,0
41,648409853,-140.844177,-7.889918,65.307831,2.090327,-4.984572,-0.291118,0
42,648426520,-140.821045,-7.747208,66.919579,2.414073,-4.996430,-0.476046,0
43,648443187,-140.859512,-7.627291,68.712715,2.847739,-4.843829,-0.347591,0
44,648459854,-140.951599,-7.519880,70.658333,3.273440,-4.525630,-0.089723,0
45,648476521,-141.012802,-7.396965,72.653053,3.623085,-4.134300,0.527392,0
46,648493188,-140.937241,-7.241453,74.678978,4.327872,-4.016025,0.813090,0
47,648509855,-140.797363,-7.050495,76.738029,4.660093,-3.693111,0.867912,0
48,648526522,-140.519775,-6.858529,78.862297,4.688151,-3.294987,0.993801,0
49,648543189,-140.187103,-6.700960,81.089355,5.193835,-3.231028,0.497095,0
50,648559856,-139.923157,-6.524556,83.484772,5.311916,-2.826222,0.516157,0
51,648576523,-139.693710,-6.323923,86.052971,5.327269,-2.325989,0.390577,0
