sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-04-30_18:23:34_670 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,575317689,-103.849869,-13.312776,44.465942,-0.126757,0.253415,0.092717,0
2,575334356,-103.379349,-13.313800,44.688282,0.072611,0.203462,-0.060102,0
3,575351023,-103.065353,-13.429270,44.837524,0.098132,0.033989,0.289186,0
4,575367690,-102.779419,-13.484400,44.991249,0.397699,0.194369,0.115009,0
5,575384357,-102.533607,-13.603601,45.109898,0.340725,-0.078696,0.054331,0
6,575401024,-102.316544,-13.636354,45.323017,0.317487,-0.344804,-0.285878,0
7,575417691,-102.153015,-13.596460,45.710289,0.266786,-0.339540,-0.769544,0
8,575434358,-102.061546,-13.586879,46.174866,0.255600,-0.314716,-0.683409,0
9,575451025,-102.033958,-13.643688,46.726891,0.564833,-0.284949,-0.771179,0
10,575467692,-102.119453,-13.794661,47.365318,0.772959,-0.176189,-0.305116,0
11,575484359,-102.225449,-14.005712,48.052525,0.869864,-0.168056,0.150912,0
12,575501026,-102.226311,-14.178597,48.743084,0.897627,-0.230232,0.561166,0
13,575517693,-102.059273,-14.282176,49.425934,0.978748,-0.351884,0.490470,0
14,575534360,-101.768852,-14.324178,50.174976,0.973386,-0.626167,-0.087505,0
15,575551027,-101.455627,-14.357251,50.987545,0.893381,-0.750865,-0.532457,0
16,575567694,-101.152824,-14.430942,51.863033,0.842449,-0.818597,-1.120146,0
17,575584361,-101.020660,-14.551481,52.803368,1.088086,-0.551481,-1.352415,0
18,575601028,-101.008659,-14.763362,53.693581,1.159064,-0.422561,-0.957124,0
19,575617695,-100.981743,-15.023156,54.569580,1.138719,-0.587605,-0.637670,0
20,575634362,-100.974365,-15.284407,55.451313,1.202338,-0.205764,-1.095881,0
21,575651029,-100.987007,-15.606364,56.231777,1.134654,-0.326492,-0.951514,0
22,575667696,-101.036209,-15.960114,56.993549,1.135590,-0.711971,-1.338434,0
23,575684363,-101.166878,-16.335972,57.798962,0.943684,-0.776441,-0.984260,0
24,575701030,-101.250710,-16.731102,58.536797,0.755820,-0.998036,-1.158795,0
25,575717697,-101.375786,-17.099672,59.373577,0.854078,-0.954579,-1.299089,0
26,575734364,-101.626938,-17.460060,60.283550,1.224880,-0.868693,-1.166978,0
27,575751031,-101.965477,-17.807772,61.323002,1.753485,-1.250605,-0.641049,0
28,575767698,-102.213867,-18.057423,62.451500,2.154273,-2.327341,0.158063,0
29,575784365,-102.371590,-18.216255,63.782700,2.425315,-2.318241,-0.146331,0
30,575801032,-102.361923,-18.238003,65.308495,2.485463,-2.111659,0.091096,0
31,575817699,-102.442924,-18.242243,66.896378,2.924165,-1.516713,-0.670049,0
32,575834366,-102.656853,-18.239992,68.501854,3.615661,-1.571490,0.281385,0
33,575851033,-102.776184,-18.166073,70.104248,4.237228,-1.951257,0.494487,0
34,575867700,-102.651855,-17.929546,71.757904,4.609671,-2.280188,0.914182,0
35,575884367,-102.367172,-17.587498,73.416412,4.667377,-2.197179,-0.045971,0
36,575901034,-102.126320,-17.157650,75.054489,4.255405,-2.072910,-0.509507,0
37,575917701,-101.973511,-16.663374,76.688927,4.116679,-2.252677,-0.388181,0
38,575934368,-101.913612,-16.169554,78.371544,4.088611,-2.501228,-0.780383,0
39,575951035,-101.954643,-15.686013,80.214737,3.955030,-2.748335,-0.434319,0
40,575967702,-102.053017,-15.199314,82.198936,3.912969,-2.259308,-0.268477,0
41,575984369,-102.225945,-14.763073,84.182373,3.888692,-1.335713,-0.166520,0
42,576001036,-102.548904,-14.384913,86.056320,3.934855,-1.054537,0.546756,0
43,576017703,-102.934792,-14.058122,87.911552,4.083367,-1.072790,1.439200,0
44,576034370,-103.128952,-13.679165,89.894691,4.134832,-1.215337,2.170207,0
45,576051037,-103.057724,-13.111064,92.113091,3.670345,-0.573207,2.176299,0
46,576067704,-102.870995,-12.461231,94.341293,3.042554,0.715747,1.451226,0
47,576084371,-102.701492,-11.851221,96.462738,2.641781,0.899715,0.996874,0
48,576101038,-102.654648,-11.316586,98.551079,2.490135,0.743719,0.838950,0
49,576117705,-102.754128,-10.804660,100.719490,2.197486,0.865114,0.797348,0
50,576134372,-102.938667,-10.359742,102.945007,1.420507,0.991528,0.274302,0
51,576151039,-103.349236,-10.030697,105.174156,0.557992,1.245589,0.889091,0
52,576167706,-103.685684,-9.820095,107.238274,0.013908,1.700143,1.529549,0
53,576184373,-103.847206,-9.609613,109.075829,0.093311,1.999683,2.005684,0
54,576201040,-103.892899,-9.296876,110.825027,0.102260,1.724158,1.802226,0
55,576217707,-103.811165,-8.998447,112.567436,-0.132460,1.624029,0.709416,0
56,576234374,-103.787773,-8.917287,114.248482,-0.732103,2.466828,0.236167,0
57,576251041,-104.017914,-8.997950,115.843941,-0.969758,2.743787,0.429102,0
58,576267708,-104.214516,-9.062222,117.302216,-1.451417,3.141787,1.674286,0
59,576284375,-104.245895,-9.054021,118.664406,-1.878503,3.122395,1.422357,0
60,576301042,-104.158455,-9.031825,120.038841,-2.083313,2.794908,1.087382,0
61,576317709,-104.024231,-9.038576,121.422859,-2.692232,2.901424,0.003890,0
62,576334376,-103.883347,-9.148401,122.616592,-3.601940,3.649946,0.184720,0
63,576351043,-103.763725,-9.383132,123.513969,-4.185684,4.107200,0.257070,0
64,576367710,-103.643372,-9.617631,124.253967,-3.936721,3.358084,0.457253,0
65,576384377,-103.575172,-9.835873,125.081924,-3.489535,2.534192,-0.748095,0
66,576401044,-103.659996,-10.118174,126.072739,-3.989717,2.925522,-0.847508,0
67,576417711,-103.757782,-10.516979,127.005676,-4.854180,3.623109,-0.289561,0
68,576434378,-103.898781,-10.872576,127.792747,-5.460568,3.605656,0.735779,0
69,576451045,-103.879601,-11.086340,128.429047,-5.314562,3.186677,0.809062,0
70,576467712,-103.642258,-11.203515,128.952423,-4.812340,2.857130,0.153774,0
71,576484379,-103.210686,-11.212948,129.456177,-4.536080,2.484843,-0.473881,0
72,576501046,-102.691956,-11.195283,129.967224,-5.510999,2.958590,-0.687673,0
73,576517713,-102.146713,-11.115938,130.252823,-6.116754,3.626865,0.164681,0
74,576534380,-101.525864,-10.975741,130.376953,-5.438866,3.727052,-0.078045,0
75,576551047,-100.970650,-10.785964,130.506943,-4.691852,3.573199,-0.723629,0
76,576567714,-100.477036,-10.613123,130.689575,-4.604108,3.224559,-1.208040,0
77,576584381,-100.071060,-10.473868,131.004059,-4.804110,2.479002,-1.534743,0
78,576601048,-99.686615,-10.352168,131.334229,-5.443148,2.405343,-1.440866,0
79,576617715,-99.260323,-10.213630,131.559006,-5.301655,2.561652,-1.217872,0
80,576634382,-98.813103,-10.044093,131.723740,-4.815827,2.816055,-1.104061,0
81,576651049,-98.362526,-9.768354,131.941299,-4.212245,2.630890,-1.425810,0
82,576667716,-97.983139,-9.429438,132.325394,-3.984848,2.385756,-1.931402,0
83,576684383,-97.596077,-9.148417,132.804779,-4.163060,2.007837,-2.385267,0
84,576701050,-97.172501,-8.995059,133.301788,-4.435196,2.006853,-2.068798,0
85,576717717,-96.703117,-8.898911,133.733246,-4.543983,2.340883,-1.850104,0
86,576734384,-96.220978,-8.730276,134.088638,-4.233012,2.245574,-1.458547,0
87,576751051,-95.728027,-8.488918,134.459015,-3.642313,1.965317,-1.599040,0
88,576767718,-95.163216,-8.203448,134.949051,-3.536599,1.717548,-1.999680,0
89,576784385,-94.584137,-7.960107,135.507202,-4.057825,2.156629,-1.962799,0
90,576801052,-94.019951,-7.802685,136.006042,-4.273002,2.550177,-1.778215,0
91,576817719,-93.500931,-7.674739,136.492249,-4.241235,2.418200,-1.553179,0
92,576834386,-93.050568,-7.456362,137.063461,-4.127423,2.417400,-1.574264,0
93,576851053,-92.684120,-7.202519,137.729553,-4.504210,2.735953,-1.626348,0
94,576867720,-92.232597,-7.011137,138.385437,-4.747322,2.906187,-1.649677,0
95,576884387,-91.770477,-6.896943,139.107269,-4.902377,2.798133,-1.013128,0
96,576901054,-91.120186,-6.745632,139.833908,-5.581544,2.985472,-0.318783,0
97,576917721,-90.402641,-6.495780,140.487854,-6.094005,3.058792,-0.365453,0
98,576934388,-89.587151,-6.150113,141.056091,-6.621544,3.144193,-0.656830,0
99,576951055,-88.701706,-5.793896,141.635178,-6.981466,3.372213,-0.602956,0
100,576967722,-88.000404,-5.562882,142.282028,-7.396566,3.288872,-1.230068,0
101,576984389,-87.450241,-5.446724,142.925827,-7.914272,3.241631,-0.174541,0
102,577001056,-86.841492,-5.375331,143.536942,-8.927692,3.081180,0.815771,0
103,577017723,-86.026360,-5.285897,143.979095,-11.111319,3.465307,2.257786,0
104,577034390,-84.959290,-5.053695,143.945587,-13.366138,4.516626,2.672632,0
105,577051057,-83.730888,-4.830568,143.384293,-14.511765,5.324983,3.271593,0
106,577067724,-82.350693,-4.924077,142.647766,-15.483253,5.680429,3.610212,0
107,577084391,-80.732140,-5.395649,141.699432,-19.200331,8.043310,4.629113,0
108,577101058,-78.639236,-5.823741,140.059937,-24.147619,11.984243,6.813040,0
109,577117725,-75.836769,-5.945158,137.269318,-28.861736,17.726339,8.868530,0
110,577134392,-72.484657,-6.334379,133.614227,-30.433187,22.372580,10.654799,0
111,577151059,-68.223656,-7.538782,129.629837,-31.803976,25.213766,8.346933,0
112,577167726,-64.279160,-9.337780,125.986717,-37.732098,25.387539,1.483608,0
113,577184393,-62.596951,-11.936592,122.086929,-55.311146,32.514305,2.875824,0
114,577201060,-62.705933,-13.192087,114.327286,-76.044655,73.153893,21.286022,0
115,577217727,-61.610840,-11.337959,96.971237,-55.120228,137.128891,36.080997,0
116,577234394,-58.560860,-7.881421,70.336586,31.641066,145.521057,34.390160,0
117,577251061,-53.687252,-1.860804,38.432632,139.111252,84.407791,19.646358,0
118,577267728,-51.821239,7.459113,4.820900,158.399918,35.509144,-11.223561,0
119,577284395,-69.337425,9.486326,-33.615795,149.219803,-22.641350,-34.053345,0
120,577301062,-76.382996,7.770629,-69.289383,94.112007,-126.459381,-10.195248,0
121,577317729,-75.006363,9.305626,-100.528748,16.201342,-150.651566,-42.157192,0
