sep=,
DeviceTag:,LF-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-04-30_18:41:47_222 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,907642390,-57.713036,-51.245747,76.269821,-0.327239,0.054651,0.142829,0
2,907659057,-57.319050,-51.265453,76.254784,-0.575339,0.217643,-0.215864,0
3,907675724,-56.490334,-51.348900,75.621262,0.218529,0.316973,0.036250,0
4,907692391,-56.439636,-51.586262,75.454391,0.728951,0.394251,-0.192697,0
5,907709058,-57.061073,-51.945602,75.791130,0.310098,0.221442,-0.186499,0
6,907725725,-57.609520,-52.240707,76.203278,0.317920,-0.165794,-0.698678,0
7,907742392,-58.306702,-52.577576,76.887711,-0.235278,-0.263881,-1.065423,0
8,907759059,-59.158211,-52.941704,77.668701,-0.416941,-0.377658,-0.039428,0
9,907775726,-59.500813,-53.073498,78.099129,0.018822,-0.902510,0.728930,0
10,907792393,-59.662762,-53.109962,78.475288,-0.121593,-0.708444,0.468321,0
11,907809060,-59.642101,-53.062260,78.688179,-0.028188,-0.878748,0.368375,0
12,907825727,-59.683956,-53.034191,78.880379,0.119349,0.300354,-1.250155,0
13,907842394,-59.933990,-53.173325,79.354561,0.038583,-0.922950,1.040844,0
14,907859061,-60.072060,-53.221825,79.800812,0.407488,-0.897878,0.287333,0
15,907875728,-60.229721,-53.149437,80.212189,-0.696441,-0.651995,0.938346,0
16,907892395,-60.288776,-52.905884,80.427620,-0.298881,-0.126437,0.280703,0
17,907909062,-60.543274,-52.745159,80.687881,-0.290568,0.067359,0.156671,0
18,907925729,-60.661335,-52.630051,80.882927,0.276068,-0.203166,0.688591,0
19,907942396,-60.737316,-52.585281,80.992813,0.122604,0.181858,0.562819,0
20,907959063,-60.741096,-52.478371,80.902161,-0.474801,0.108093,1.291824,0
21,907975730,-60.537006,-52.304478,80.651588,-0.228465,0.008222,0.996473,0
22,907992397,-60.327225,-52.207638,80.436943,-0.385495,-0.107063,0.682344,0
23,908009064,-60.258759,-52.211308,80.265633,0.025521,-0.306861,0.223516,0
24,908025731,-60.069172,-52.013668,80.227882,-0.504271,-0.377830,0.880945,0
25,908042398,-59.825005,-51.873318,80.113815,1.133134,-0.593399,-0.613604,0
26,908059065,-59.611240,-51.706635,80.127754,-0.220582,-0.075133,-0.367054,0
27,908075732,-59.368633,-51.563515,80.088661,0.421562,-0.396366,-1.046144,0
28,908092399,-59.178829,-51.439835,80.152542,0.607978,-0.341537,-0.731139,0
29,908109066,-59.081493,-51.312775,80.289047,0.586141,-0.139127,-0.469879,0
