sep=,
DeviceTag:,LF-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-04-30_19:11:46_891 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2707285893,-88.857971,-14.999282,105.589142,-0.263610,0.013296,0.664774,0
2,2707302560,-88.627686,-14.998761,105.314835,-0.346145,-0.030063,1.161057,0
3,2707319227,-88.380569,-14.954450,105.099922,-0.536961,0.102628,0.288490,0
4,2707335894,-88.041786,-15.048396,104.950996,-0.486644,0.252310,0.194591,0
5,2707352561,-87.724564,-15.241977,104.869560,-0.081173,0.203992,0.218408,0
6,2707369228,-87.460587,-15.404034,104.769798,0.004175,0.301589,-0.177971,0
7,2707385895,-87.178932,-15.520106,104.730804,0.130803,0.486572,-0.507186,0
8,2707402562,-86.960327,-15.606513,104.831726,0.266896,0.735535,-0.961647,0
9,2707419229,-86.808517,-15.731454,105.009613,0.221641,0.812524,-0.821742,0
10,2707435896,-86.696579,-15.845816,105.352379,0.309771,0.878089,-0.743179,0
11,2707452563,-86.585968,-15.990228,105.687683,0.245178,1.110874,-0.448143,0
12,2707469230,-86.477501,-16.170525,106.040565,0.437720,1.465819,-0.215364,0
13,2707485897,-86.365219,-16.426838,106.377937,0.527430,1.788639,-0.313804,0
14,2707502564,-86.250809,-16.786158,106.709023,0.777142,1.845685,-0.189254,0
15,2707519231,-86.119995,-17.181919,107.061523,1.174045,1.786565,-0.071076,0
16,2707535898,-86.040565,-17.609447,107.500496,1.290588,2.029273,-0.179430,0
17,2707552565,-86.066597,-18.127306,108.029465,1.635780,1.907873,-0.004402,0
18,2707569232,-86.243027,-18.636734,108.661011,1.657732,1.743887,0.578229,0
19,2707585899,-86.520142,-19.057539,109.352623,1.987170,1.956321,0.357801,0
20,2707602566,-87.014633,-19.468800,110.121391,1.769216,2.066793,0.262689,0
21,2707619233,-87.566711,-19.809612,110.862282,2.181480,1.800949,0.549068,0
22,2707635900,-88.170464,-20.033964,111.609337,2.126616,1.876574,0.077206,0
23,2707652567,-88.887581,-20.265123,112.262520,2.280764,1.865647,-0.193894,0
24,2707669234,-89.760094,-20.495178,112.938126,2.641241,1.832597,-0.271505,0
25,2707685901,-90.813179,-20.713184,113.656967,2.761580,1.814603,-0.148306,0
26,2707702568,-92.006577,-20.915449,114.430756,2.803519,1.880905,-0.374126,0
27,2707719235,-93.225395,-21.091497,115.206238,2.599223,1.745013,-0.095440,0
28,2707735902,-94.321693,-21.215706,115.961304,2.325642,0.752424,0.231466,0
29,2707752569,-94.941200,-20.858580,116.390373,2.445339,0.368380,0.395074,0
30,2707769236,-95.641655,-20.449825,116.895576,1.756537,-0.396041,-0.894287,0
31,2707785903,-96.293327,-20.423809,116.954437,2.066746,-1.109943,-1.980399,0
32,2707802570,-96.587395,-20.082420,116.881561,1.844415,-1.229421,0.565009,0
33,2707819237,-96.886154,-19.782129,116.741173,2.397819,-0.230295,-0.598121,0
34,2707835904,-97.218193,-19.591999,116.712624,2.222612,0.921252,-0.332047,0
35,2707852571,-97.585060,-19.470856,116.796097,1.652675,1.819156,0.274695,0
36,2707869238,-97.769455,-19.288971,116.892258,1.735460,2.130882,0.630765,0
37,2707885905,-97.918465,-19.108702,117.092583,1.197650,1.903580,-0.033185,0
38,2707902572,-98.000534,-19.020868,117.293594,1.290389,1.566987,-0.350706,0
39,2707919239,-98.126572,-18.961565,117.635109,1.340745,0.873856,0.317168,0
40,2707935906,-98.134666,-18.799057,117.964172,1.607236,0.582937,0.106716,0
41,2707952573,-98.348953,-18.582285,118.464233,1.247187,0.435355,-0.528616,0
42,2707969240,-98.758965,-18.482771,118.887260,1.549600,0.411619,-0.709629,0
43,2707985907,-99.382973,-18.444519,119.397346,0.926983,0.571363,-0.555807,0
44,2708002574,-100.083427,-18.453945,119.918449,1.074528,0.921583,-0.369742,0
45,2708019241,-100.867279,-18.507818,120.458267,0.446713,1.009372,0.020247,0
46,2708035908,-101.602783,-18.561001,120.981117,0.363144,1.007040,-0.013537,0
47,2708052575,-102.270142,-18.669834,121.486908,0.107879,0.939293,-0.214399,0
48,2708069242,-102.873009,-18.823374,121.937965,-0.041114,0.671541,-0.097161,0
49,2708085909,-103.334450,-18.944902,122.300262,0.330223,0.398005,0.124455,0
50,2708102576,-103.743858,-19.032927,122.653900,0.076537,0.091541,-0.116550,0
51,2708119243,-104.086624,-19.170597,122.913002,0.093105,-0.299450,-0.119790,0
52,2708135910,-104.312386,-19.321589,123.086830,0.215977,-0.319128,-0.127522,0
53,2708152577,-104.580223,-19.455925,123.317070,0.087564,-0.325581,0.067358,0
54,2708169244,-104.725449,-19.557724,123.489944,0.019679,-0.273632,0.030092,0
55,2708185911,-104.842094,-19.617990,123.712120,0.183847,-0.314702,-0.010645,0
56,2708202578,-104.959351,-19.642477,123.963211,0.020803,-0.333964,-0.129064,0
57,2708219245,-105.099739,-19.656370,124.209831,-0.235869,-0.322536,0.064152,0
58,2708235912,-105.156937,-19.624851,124.424660,-0.056839,-0.264930,0.639362,0
59,2708252579,-105.117882,-19.513969,124.656006,-0.031234,-0.095612,0.401193,0
60,2708269246,-105.069237,-19.393524,124.921524,0.162499,0.126131,0.116124,0
61,2708285913,-105.144043,-19.315834,125.310135,0.254134,0.104411,-0.128734,0
62,2708302580,-105.170197,-19.277308,125.678749,-0.069243,-0.198961,0.125774,0
63,2708319247,-105.156258,-19.250797,125.962242,-0.145618,-0.385501,0.001095,0
64,2708335914,-105.234558,-19.295938,126.188240,0.294676,-0.109787,-0.930056,0
65,2708352581,-105.539955,-19.504383,126.507744,0.377617,-0.452300,-0.692225,0
66,2708369248,-105.972618,-19.844879,126.849373,0.448897,-1.014480,-0.081031,0
67,2708385915,-106.304016,-20.142481,127.121994,-0.019536,-1.241226,0.569238,0
68,2708402582,-106.409454,-20.279293,127.275520,0.319790,-1.056900,1.036216,0
69,2708419249,-106.261398,-20.202255,127.346786,0.114568,-0.402727,0.519044,0
70,2708435916,-106.187691,-20.074873,127.497528,0.031595,0.228427,-0.258778,0
71,2708452583,-106.109138,-19.909185,127.634178,0.064153,0.225610,0.086697,0
72,2708469250,-106.061760,-19.673595,127.773979,-0.284608,0.223591,0.027972,0
73,2708485917,-106.019058,-19.452890,127.852959,-0.263039,0.330489,-0.329442,0
74,2708502584,-106.034676,-19.291563,127.900909,-0.130901,0.223621,-0.031752,0
75,2708519251,-106.005234,-19.140718,127.917397,-0.029094,0.253878,-0.469732,0
76,2708535918,-105.991119,-19.074587,127.903275,-0.083473,0.295512,-0.867211,0
77,2708552585,-106.067947,-19.135727,127.874969,0.110322,0.367942,-0.924663,0
78,2708569252,-106.150345,-19.232857,127.855270,0.123313,0.190124,-0.329045,0
79,2708585919,-106.214546,-19.341459,127.798576,0.018458,0.094019,-0.406658,0
80,2708602586,-106.269180,-19.469025,127.715904,0.254416,0.098774,-0.330700,0
81,2708619253,-106.327667,-19.608843,127.621826,0.397340,-0.023756,-0.156193,0
82,2708635920,-106.375771,-19.734240,127.545586,0.670891,-0.144233,-0.113220,0
83,2708652587,-106.435432,-19.821741,127.495934,0.557475,-0.153703,-0.158583,0
84,2708669254,-106.606041,-19.896173,127.467194,0.792880,-0.226508,0.367228,0
85,2708685921,-106.777138,-19.887947,127.446182,0.598150,-0.159690,0.225053,0
86,2708702588,-106.956268,-19.832321,127.439461,0.526915,0.066217,-0.002785,0
87,2708719255,-107.282669,-19.881117,127.359039,0.371007,0.480807,-0.978190,0
88,2708735922,-108.004044,-20.114059,127.336105,0.112823,-0.584042,-0.857028,0
89,2708752589,-108.387497,-20.136345,126.915367,-0.168643,-1.474811,1.123671,0
90,2708769256,-108.434578,-19.943933,126.170578,0.620392,-1.103223,0.260759,0
91,2708785923,-108.500450,-19.666363,125.339066,0.772760,-0.535098,-1.096805,0
92,2708802590,-108.649338,-19.416807,124.477577,1.463278,-0.391303,-0.742844,0
93,2708819257,-108.810226,-19.206179,123.622993,1.375027,-0.165435,-0.793136,0
94,2708835924,-108.859245,-19.001215,122.780617,1.955212,0.155433,-0.860924,0
95,2708852591,-108.963371,-18.851236,122.061066,1.860599,0.465028,-1.096942,0
96,2708869258,-109.099686,-18.825609,121.454330,1.994747,0.826818,-1.260519,0
97,2708885925,-109.379402,-18.946520,120.983269,1.488964,1.102930,-0.844649,0
98,2708902592,-109.565704,-19.180742,120.568115,1.438383,0.920931,-0.200000,0
