sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-03_18:04:36_227 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,52328857,129.046448,-32.256260,102.086807,0.257977,0.045286,-0.402154,0
2,52345524,128.625671,-32.209942,102.112373,0.401934,0.212810,-0.619384,0
3,52362191,127.969780,-32.288712,102.377968,0.420225,0.332586,-0.752239,0
4,52378858,127.366692,-32.471802,102.806702,0.301588,0.226279,-0.693470,0
5,52395525,126.966003,-32.650444,103.217415,0.237055,0.163963,-0.472943,0
6,52412192,126.718262,-32.812553,103.577873,0.277692,0.095480,-0.281880,0
7,52428859,126.525543,-32.940586,103.890015,0.292273,-0.020283,-0.100530,0
8,52445526,126.359375,-33.015827,104.151688,0.246410,-0.145056,0.007877,0
9,52462193,126.225998,-33.038784,104.363991,0.185964,-0.158098,0.047337,0
10,52478860,126.125206,-33.024982,104.532372,0.218391,-0.210567,0.029217,0
11,52495527,126.039490,-32.983463,104.678238,0.174352,-0.128390,-0.049920,0
12,52512194,125.944702,-32.937286,104.802933,0.192268,-0.081886,-0.116147,0
13,52528861,125.845680,-32.895050,104.916130,0.072396,-0.034262,-0.231010,0
14,52545528,125.766830,-32.864197,105.024170,-0.013667,-0.046790,-0.222708,0
15,52562195,125.699211,-32.839329,105.118248,0.038898,-0.049700,-0.166655,0
16,52578862,125.644691,-32.822258,105.205040,-0.100126,0.047540,-0.243885,0
17,52595529,125.610939,-32.810699,105.292343,-0.009322,-0.004883,-0.142862,0
18,52612196,125.558548,-32.802197,105.373322,-0.121193,0.015180,-0.136699,0
19,52628863,125.517830,-32.795055,105.447205,-0.171285,-0.022491,-0.108787,0
20,52645530,125.501488,-32.785664,105.514732,-0.228973,-0.012366,-0.128547,0
21,52662197,125.516861,-32.780144,105.568939,-0.178751,0.015014,-0.107330,0
22,52678864,125.537415,-32.777870,105.605576,-0.096518,0.054780,-0.126685,0
23,52695531,125.549026,-32.777428,105.652946,-0.064777,0.020421,-0.102174,0
24,52712198,125.584518,-32.781979,105.689758,-0.112671,0.013279,-0.137796,0
25,52728865,125.614212,-32.784027,105.719353,0.029571,-0.016780,-0.090380,0
26,52745532,125.618492,-32.782566,105.761864,0.020041,-0.060332,-0.080234,0
27,52762199,125.622551,-32.775288,105.802155,-0.059513,-0.088904,-0.088410,0
28,52778866,125.640633,-32.763638,105.837082,-0.018598,-0.043264,-0.064684,0
29,52795533,125.645973,-32.751762,105.877045,0.061627,-0.019688,-0.083546,0
30,52812200,125.633842,-32.740856,105.905769,0.038202,0.006694,-0.160175,0
31,52828867,125.627342,-32.733742,105.935730,-0.033927,-0.004859,-0.198705,0
32,52845534,125.634048,-32.728539,105.962868,0.044813,-0.003502,-0.247560,0
33,52862201,125.624367,-32.718807,105.986412,0.079610,0.044985,-0.230481,0
34,52878868,125.615677,-32.709915,106.013206,0.009760,0.083698,-0.251843,0
35,52895535,125.622086,-32.707138,106.044273,-0.008354,0.085673,-0.220169,0
36,52912202,125.634880,-32.706932,106.069885,0.041517,0.025481,-0.187068,0
37,52928869,125.644531,-32.704288,106.098221,0.004916,-0.003817,-0.167564,0
38,52945536,125.665703,-32.699673,106.119568,0.013286,-0.059190,-0.082958,0
39,52962203,125.676796,-32.691761,106.141037,0.065374,-0.042008,-0.049229,0
40,52978870,125.674431,-32.679474,106.154465,0.031008,-0.002684,-0.072803,0
41,52995537,125.664268,-32.668034,106.175690,-0.013495,0.002952,-0.095576,0
42,53012204,125.657570,-32.659126,106.196259,-0.038765,0.030374,-0.150773,0
43,53028871,125.668091,-32.650600,106.213516,-0.029619,0.029416,-0.171508,0
44,53045538,125.683197,-32.645199,106.233612,0.033980,0.029878,-0.131670,0
45,53062205,125.693169,-32.635319,106.239952,0.006908,0.036881,-0.149323,0
46,53078872,125.706779,-32.625317,106.247643,0.006293,0.033985,-0.139366,0
47,53095539,125.711517,-32.616676,106.258255,0.017958,0.073009,-0.150446,0
48,53112206,125.717499,-32.609932,106.264336,-0.002992,0.004232,-0.088889,0
49,53128873,125.727379,-32.603401,106.280006,0.018912,-0.015056,-0.093771,0
50,53145540,125.720123,-32.590485,106.280907,0.075278,-0.035860,-0.089981,0
51,53162207,125.705887,-32.577415,106.278694,0.011838,-0.004407,-0.129545,0
52,53178874,125.708420,-32.565201,106.280685,-0.041433,0.053659,-0.183110,0
53,53195541,125.728378,-32.555599,106.277908,0.036321,0.049261,-0.151251,0
54,53212208,125.737762,-32.548084,106.279434,0.056013,0.047201,-0.148587,0
55,53228875,125.744331,-32.541584,106.278137,0.038746,0.008557,-0.122234,0
56,53245542,125.751106,-32.532791,106.283730,0.061311,-0.004214,-0.067426,0
57,53262209,125.743416,-32.519463,106.286354,0.100918,-0.016805,-0.049419,0
58,53278876,125.727158,-32.499992,106.280418,0.042103,-0.014138,-0.048186,0
59,53295543,125.715668,-32.479130,106.274055,0.003780,0.013036,-0.133564,0
60,53312210,125.697571,-32.460918,106.263123,0.089546,0.021455,-0.145289,0
61,53328877,125.651932,-32.443710,106.253693,0.070958,0.039923,-0.172678,0
62,53345544,125.605896,-32.427185,106.244278,0.028563,0.031465,-0.197042,0
63,53362211,125.573151,-32.413322,106.239983,0.038586,0.060768,-0.206450,0
64,53378878,125.547836,-32.399807,106.240181,0.078763,0.033155,-0.140526,0
65,53395545,125.523987,-32.386154,106.237946,0.068112,0.029882,-0.148780,0
66,53412212,125.492081,-32.371452,106.241158,0.085310,0.039774,-0.146608,0
67,53428879,125.452095,-32.352242,106.235008,0.101312,0.033189,-0.148847,0
68,53445546,125.402054,-32.332550,106.226624,0.061824,0.049505,-0.165019,0
69,53462213,125.374870,-32.315369,106.225632,-0.025501,0.066815,-0.226029,0
70,53478880,125.368835,-32.303051,106.223457,0.076186,0.088340,-0.216059,0
71,53495547,125.362396,-32.293732,106.218773,0.106828,0.076055,-0.202598,0
72,53512214,125.341171,-32.282246,106.227936,0.135510,0.046345,-0.131384,0
73,53528881,125.304848,-32.271297,106.239960,0.082902,0.008367,-0.104248,0
74,53545548,125.275612,-32.260563,106.250656,-0.006820,0.038089,-0.122412,0
75,53562215,125.258018,-32.250546,106.256691,0.031106,0.031471,-0.107360,0
76,53578882,125.234703,-32.239552,106.265190,0.097922,0.040031,-0.083398,0
77,53595549,125.188560,-32.228748,106.273575,0.102754,0.060673,-0.079353,0
78,53612216,125.125488,-32.217052,106.282875,0.057935,0.028839,-0.102252,0
79,53628883,125.061447,-32.208199,106.302208,0.015936,0.020517,-0.114791,0
80,53645550,125.020889,-32.197025,106.316154,-0.040783,0.042808,-0.161210,0
81,53662217,125.010567,-32.188030,106.332275,0.007560,0.067570,-0.168568,0
82,53678884,125.006645,-32.182762,106.346390,0.082070,0.103992,-0.218801,0
83,53695551,124.998375,-32.178741,106.367668,0.035204,0.118838,-0.234846,0
84,53712218,124.996811,-32.181541,106.385086,0.036252,0.078231,-0.179551,0
85,53728885,124.994934,-32.185879,106.395065,0.077876,0.049250,-0.097957,0
86,53745552,124.985535,-32.188103,106.408485,0.129234,0.014740,-0.083106,0
87,53762219,124.972549,-32.188465,106.421974,0.117766,-0.022113,-0.058612,0
88,53778886,124.951744,-32.185665,106.439949,0.150118,-0.003224,-0.101469,0
89,53795553,124.920364,-32.179642,106.447014,0.142621,0.043729,-0.091284,0
90,53812220,124.874153,-32.171394,106.464035,0.128447,0.049077,-0.118033,0
91,53828887,124.825455,-32.164360,106.483002,0.060100,0.059153,-0.171119,0
92,53845554,124.775703,-32.151196,106.496307,0.055631,0.068974,-0.202353,0
93,53862221,124.719490,-32.137665,106.509491,0.101657,0.096255,-0.158770,0
94,53878888,124.649139,-32.132977,106.527580,0.032632,0.161096,-0.226460,0
95,53895555,124.599480,-32.126881,106.542824,0.120280,-0.041277,0.001069,0
96,53912222,124.503693,-32.121227,106.551254,0.133234,-0.056111,0.115124,0
97,53928889,124.375244,-32.101200,106.546097,0.156219,-0.116655,0.160357,0
98,53945556,124.212196,-32.066280,106.530052,0.165734,-0.142432,0.211817,0
99,53962223,123.990730,-32.017334,106.500038,0.160372,-0.081397,0.312057,0
100,53978890,123.746803,-31.963169,106.469368,0.021522,-0.102582,0.391129,0
101,53995557,123.538551,-31.891718,106.420296,-0.106681,-0.132675,0.595946,0
102,54012224,123.303726,-31.782667,106.358231,-0.004774,-0.269946,0.937510,0
103,54028891,122.936737,-31.616936,106.276436,0.052455,-0.244961,1.307797,0
104,54045558,122.485527,-31.408663,106.191879,-0.273571,-0.282468,1.240255,0
105,54062225,122.034515,-31.130438,106.063332,-0.566874,-0.304264,1.451554,0
106,54078892,121.646889,-30.788536,105.915764,-0.772469,-0.159927,1.579145,0
107,54095559,121.404510,-30.410915,105.760345,-0.692729,0.237472,1.242263,0
108,54112226,121.257645,-29.957073,105.595711,0.547447,1.031264,1.457629,0
109,54128893,120.731873,-29.465229,105.420509,1.305655,2.201779,2.459899,0
110,54145560,119.782425,-28.928211,105.282524,0.138943,2.128965,1.929135,0
111,54162227,118.909225,-28.348711,105.071060,-0.503743,2.504927,1.680123,0
112,54178894,118.131371,-27.764673,104.838203,-0.444202,2.660065,1.409353,0
113,54195561,117.368004,-27.195986,104.601456,0.080925,2.822135,1.144293,0
114,54212228,116.483620,-26.625816,104.379059,0.275907,3.010760,0.821770,0
115,54228895,115.508240,-26.074745,104.181229,0.496980,3.225964,0.572745,0
116,54245562,114.451981,-25.563974,104.022697,0.665915,3.163983,0.247769,0
117,54262229,113.408142,-25.108488,103.825623,0.616670,2.953045,-0.221761,0
118,54278896,112.444084,-24.691046,103.556145,0.305733,2.785162,-0.669252,0
119,54295563,111.603737,-24.352798,103.299370,0.166201,2.612396,-0.501621,0
120,54312230,110.789246,-24.099810,102.993889,0.230306,2.304675,-0.603221,0
121,54328897,109.967148,-23.940479,102.607132,0.443306,2.207530,-0.976553,0
122,54345564,109.102837,-23.892418,102.106956,0.599843,2.071402,-1.250494,0
123,54362231,108.202995,-23.964556,101.505783,0.537463,1.975345,-1.514262,0
124,54378898,107.316444,-24.189125,100.800217,0.693661,2.139200,-1.847085,0
125,54395565,106.467857,-24.566563,100.017792,0.892024,2.180233,-1.971028,0
126,54412232,105.722916,-25.102015,99.134338,1.373873,2.169281,-1.849992,0
127,54428899,105.021248,-25.772449,98.117645,1.796862,2.464756,-1.547050,0
128,54445566,104.359215,-26.613537,97.041847,1.698305,2.539415,-1.303656,0
129,54462233,103.768097,-27.603754,95.894455,1.461679,2.035491,-1.443831,0
130,54478900,103.302055,-28.687269,94.613670,1.577373,1.738907,-1.352027,0
