sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_18:42:06_462 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,209859886,-106.530289,25.615118,46.474354,-0.196811,0.279703,0.132890,0
2,209876553,-106.020416,25.567198,46.604115,-0.136028,0.051842,-0.193471,0
3,209893220,-105.710861,25.572546,46.681725,-0.074392,-0.035289,-0.296926,0
4,209909887,-105.557709,25.591705,46.664215,0.028894,0.017515,-0.010838,0
5,209926554,-105.453697,25.565624,46.648445,-0.031335,-0.005340,-0.095094,0
6,209943221,-105.353889,25.538422,46.621105,0.110780,-0.117032,-0.047200,0
7,209959888,-105.317879,25.516720,46.533703,-0.078879,-0.313968,-0.308700,0
8,209976555,-105.369652,25.537136,46.457329,-0.147856,-0.064224,-0.029854,0
9,209993222,-105.349411,25.567579,46.390331,-0.082673,-0.155000,0.073863,0
10,210009889,-105.352806,25.600307,46.327984,-0.132490,-0.127859,-0.015268,0
11,210026556,-105.331429,25.636732,46.275501,-0.056043,-0.084438,0.160329,0
12,210043223,-105.292297,25.668049,46.243214,-0.075837,-0.128353,-0.005293,0
13,210059890,-105.265396,25.703207,46.213371,0.011024,-0.041903,0.027462,0
14,210076557,-105.223457,25.729282,46.192257,0.089825,-0.067945,0.013721,0
15,210093224,-105.226334,25.747942,46.171425,0.174713,-0.025651,0.052334,0
16,210109891,-105.208305,25.756136,46.146435,0.244792,-0.018604,0.148401,0
17,210126558,-105.203590,25.753994,46.121651,0.139084,-0.002853,-0.011475,0
18,210143225,-105.215317,25.749891,46.101006,0.148845,-0.012539,-0.044655,0
19,210159892,-105.228188,25.742887,46.074924,0.178688,-0.009308,0.041348,0
20,210176559,-105.226219,25.731344,46.047150,0.115960,-0.029346,0.006452,0
21,210193226,-105.224716,25.723532,46.034115,0.011604,-0.003219,-0.069397,0
22,210209893,-105.238327,25.715122,46.030796,-0.024257,0.025752,0.005136,0
