sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_18:48:37_560 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,600972144,44.430244,-5.102659,131.841873,-0.170417,-0.000978,-0.635554,0
2,600988811,44.802948,-5.176888,131.606033,-0.041148,-0.249656,-0.151978,0
3,601005478,45.176109,-5.000141,131.359634,-0.111338,-0.332617,-0.004024,0
4,601022145,45.550293,-4.748181,131.138947,-0.025891,-0.315842,0.159472,0
5,601038812,45.811619,-4.465601,130.914185,-0.047985,-0.284981,0.276415,0
6,601055479,45.997208,-4.202270,130.731079,-0.020654,-0.172173,0.171305,0
7,601072146,46.157951,-3.966099,130.570312,0.027375,-0.022444,-0.016828,0
8,601088813,46.313099,-3.744680,130.413986,-0.077324,0.059888,-0.159964,0
9,601105480,46.460663,-3.542027,130.268906,-0.000754,0.073371,-0.127891,0
10,601122147,46.570156,-3.343609,130.112534,0.125014,0.092131,-0.054104,0
11,601138814,46.664162,-3.139389,129.947937,0.199793,0.200708,-0.139038,0
12,601155481,46.765228,-2.921575,129.763535,0.199408,0.211350,-0.084306,0
13,601172148,46.866879,-2.690521,129.557495,0.200092,0.229390,-0.109644,0
14,601188815,46.975014,-2.443814,129.329422,0.186437,0.233751,-0.084294,0
15,601205482,47.110794,-2.179199,129.101379,0.178952,0.259367,-0.037835,0
16,601222149,47.238785,-1.914556,128.869537,0.138285,0.108217,0.160196,0
17,601238816,47.349697,-1.647382,128.633881,0.151513,0.240177,0.072758,0
18,601255483,47.445843,-1.372740,128.404388,0.052856,0.205880,0.096284,0
19,601272150,47.514954,-1.110537,128.181656,0.094230,0.136425,0.327712,0
20,601288817,47.588413,-0.857617,127.961845,0.157066,0.219599,0.256529,0
21,601305484,47.673527,-0.624358,127.738159,0.164743,0.201965,0.397225,0
22,601322151,47.707638,-0.414584,127.515961,0.087078,0.154061,0.411180,0
23,601338818,47.728550,-0.220513,127.291557,0.030440,0.343406,-0.020528,0
24,601355485,47.795723,-0.031125,127.077499,-0.036764,0.341767,-0.072273,0
25,601372152,47.858467,0.140470,126.868988,0.031611,0.271536,0.306510,0
26,601388819,47.890850,0.286365,126.650673,0.091285,0.303796,0.370407,0
27,601405486,47.911488,0.410978,126.422852,0.120610,0.331042,0.446364,0
28,601422153,47.935680,0.517925,126.193047,0.087748,0.392351,0.277975,0
29,601438820,47.986832,0.623790,125.966774,0.055822,0.374615,0.242405,0
30,601455487,48.056400,0.712759,125.748337,0.135791,0.330341,0.331308,0
31,601472154,48.138912,0.774562,125.535683,0.189365,0.408131,0.295650,0
32,601488821,48.241798,0.816442,125.335121,0.221348,0.486813,0.233418,0
33,601505488,48.340111,0.842575,125.150558,0.192526,0.633445,0.117308,0
34,601522155,48.426167,0.860628,124.982300,0.244964,0.696208,-0.030843,0
35,601538822,48.493607,0.873962,124.839561,0.133260,0.706389,-0.196311,0
36,601555489,48.543610,0.894552,124.728806,0.114748,0.800497,-0.152527,0
37,601572156,48.602604,0.933202,124.644531,0.186604,0.874100,-0.012599,0
38,601588823,48.664612,1.007657,124.577690,0.058360,0.849083,0.217426,0
39,601605490,48.704262,1.120943,124.540794,0.008719,0.700154,0.533456,0
40,601622157,48.733456,1.236001,124.531754,0.091070,0.435793,0.524633,0
41,601638824,48.803593,1.332063,124.524498,0.055675,0.441322,0.107678,0
42,601655491,48.914776,1.404069,124.587639,0.029939,0.336725,0.068248,0
43,601672158,48.972790,1.442384,124.626366,0.052717,0.308315,0.230335,0
44,601688825,48.931061,1.454899,124.653549,0.009440,0.394080,0.129354,0
45,601705492,48.836193,1.469143,124.660912,0.036526,0.534619,-0.181748,0
46,601722159,48.796227,1.510820,124.649536,-0.068068,0.422536,-0.473921,0
47,601738826,48.840466,1.594997,124.647102,-0.405040,0.043779,-0.294208,0
