sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_18:56:29_682 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,1073083472,113.889809,18.296923,-102.620865,0.037421,-0.038320,-0.096108,0
2,1073100139,113.869865,18.267534,-102.701462,0.148108,-0.022119,-0.288927,0
3,1073116806,113.985939,18.286903,-102.734901,0.174758,-0.035422,-0.303240,0
4,1073133473,114.145844,18.321712,-102.725060,0.147493,-0.058236,-0.323836,0
5,1073150140,114.294807,18.351858,-102.699364,0.070846,-0.096397,-0.102540,0
6,1073166807,114.369644,18.366634,-102.661812,-0.015292,-0.057096,-0.044790,0
7,1073183474,114.387459,18.385277,-102.613739,0.093326,-0.040382,-0.182271,0
8,1073200141,114.414711,18.410025,-102.560616,0.082893,-0.106585,-0.163067,0
9,1073216808,114.433418,18.428936,-102.506065,0.116890,-0.080788,-0.188428,0
10,1073233475,114.468544,18.450516,-102.440216,0.157385,-0.027712,-0.268224,0
11,1073250142,114.517715,18.479658,-102.382156,0.004195,0.012833,-0.078506,0
12,1073266809,114.517044,18.512074,-102.341408,-0.019624,0.036489,-0.173120,0
13,1073283476,114.524101,18.549166,-102.312164,0.066932,0.033860,-0.359365,0
14,1073300143,114.549606,18.596283,-102.292381,-0.108452,0.012640,-0.318472,0
15,1073316810,114.541733,18.645208,-102.282509,-0.140528,0.006789,-0.476592,0
16,1073333477,114.532967,18.694349,-102.295998,-0.130075,-0.011399,-0.580272,0
17,1073350144,114.507492,18.743057,-102.301689,-0.135968,-0.016347,-0.793265,0
18,1073366811,114.454422,18.784843,-102.304771,-0.136806,-0.028830,-1.027832,0
19,1073383478,114.461708,18.811823,-102.331947,-0.438402,0.199230,-1.594530,0
20,1073400145,114.345963,18.837381,-102.365860,-0.645061,-0.102052,-1.249048,0
21,1073416812,114.140694,18.837774,-102.391525,-0.022027,-0.124685,-2.406243,0
22,1073433479,113.932060,18.815386,-102.371574,-0.257963,-0.277699,-2.625857,0
23,1073450146,113.670883,18.761082,-102.309891,-0.278218,-0.100059,-3.148571,0
24,1073466813,113.451355,18.712076,-102.303001,-0.197167,-0.058387,-3.556106,0
25,1073483480,113.330894,18.713943,-102.226204,-0.049728,-0.102814,-3.244206,0
26,1073500147,113.222435,18.818623,-102.115089,-0.068696,-0.167035,-2.329054,0
27,1073516814,113.035225,19.062588,-102.007256,0.164115,-0.018142,-1.494814,0
28,1073533481,112.809334,19.434019,-101.911942,0.364789,0.161252,-0.805109,0
29,1073550148,112.578850,19.908499,-101.774017,0.514642,0.311927,-0.277715,0
30,1073566815,112.434715,20.423895,-101.562706,0.475238,0.470360,0.206543,0
31,1073583482,112.359573,20.945633,-101.369888,0.362928,0.575200,0.965320,0
32,1073600149,112.237793,21.454653,-101.217583,0.096344,0.618880,1.191584,0
33,1073616816,112.109787,21.940283,-101.051308,0.019005,0.683422,0.995348,0
34,1073633483,112.045273,22.402147,-100.884995,0.128498,0.626784,0.813871,0
35,1073650150,112.043480,22.844944,-100.725197,0.096649,0.462720,0.807787,0
36,1073666817,112.034691,23.275637,-100.576645,0.017385,0.278870,0.943678,0
37,1073683484,111.970650,23.713957,-100.449554,-0.087681,0.258236,0.997205,0
38,1073700151,111.825768,24.174133,-100.363441,-0.110024,0.152064,0.987777,0
39,1073716818,111.643021,24.653566,-100.295624,0.051328,0.057125,0.908809,0
40,1073733485,111.456757,25.140741,-100.254509,0.086407,-0.033707,0.878097,0
41,1073750152,111.266273,25.619528,-100.233437,0.128069,-0.130944,0.927474,0
42,1073766819,111.058060,26.083237,-100.240532,0.224025,-0.135330,0.846702,0
43,1073783486,110.936264,26.534647,-100.252716,0.315554,-0.258718,0.848146,0
44,1073800153,110.818657,26.959848,-100.273972,0.240980,-0.309615,0.840116,0
45,1073816820,110.705139,27.350834,-100.308716,0.245740,-0.342883,0.674151,0
46,1073833487,110.630150,27.703861,-100.333878,0.385955,-0.455322,0.529870,0
47,1073850154,110.557732,28.020134,-100.348969,0.286774,-0.533922,0.415276,0
48,1073866821,110.496597,28.309580,-100.354424,0.169349,-0.521153,0.158471,0
49,1073883488,110.426018,28.585152,-100.356575,0.052868,-0.490213,-0.081873,0
50,1073900155,110.345284,28.858915,-100.356949,-0.018789,-0.481761,-0.021977,0
51,1073916822,110.227165,29.139400,-100.359413,0.045113,-0.511135,0.172303,0
52,1073933489,110.038254,29.420435,-100.368866,0.028597,-0.558227,0.252081,0
53,1073950156,109.835190,29.699545,-100.363708,0.036840,-0.518454,0.195835,0
54,1073966823,109.644676,29.976973,-100.358894,-0.013751,-0.392141,0.120224,0
55,1073983490,109.517807,30.247282,-100.344940,-0.011748,-0.375332,0.151095,0
56,1074000157,109.429314,30.508192,-100.321022,-0.007854,-0.439492,0.279479,0
57,1074016824,109.353287,30.752764,-100.267578,0.147685,-0.480616,0.342418,0
58,1074033491,109.300240,30.974236,-100.190895,0.011949,-0.412175,0.425467,0
59,1074050158,109.224533,31.177023,-100.113762,-0.043652,-0.306456,0.411117,0
60,1074066825,109.101196,31.353970,-100.057228,-0.019346,-0.306193,0.601372,0
61,1074083492,108.950150,31.504818,-99.995148,0.049351,-0.194848,0.405549,0
62,1074100159,108.824074,31.636719,-99.937042,0.024039,-0.160842,0.395840,0
63,1074116826,108.695137,31.746054,-99.888817,-0.059651,-0.090783,0.232566,0
64,1074133493,108.601456,31.845221,-99.854713,0.053114,0.031211,0.109174,0
65,1074150160,108.546692,31.938931,-99.838463,0.011566,-0.042050,0.328723,0
66,1074166827,108.474541,32.027325,-99.843697,-0.094989,-0.060170,0.411836,0
67,1074183494,108.399681,32.109142,-99.854904,0.083492,0.112034,0.001971,0
68,1074200161,108.412056,32.200970,-99.879074,0.018338,0.113689,0.123549,0
69,1074216828,108.451019,32.282490,-99.906700,0.063550,-0.064882,0.203499,0
70,1074233495,108.497108,32.356709,-99.931679,-0.008758,-0.071155,0.326826,0
71,1074250162,108.510681,32.417393,-99.964722,-0.077220,-0.230066,0.427833,0
72,1074266829,108.457390,32.466606,-99.998177,-0.070926,-0.117186,0.263224,0
73,1074283496,108.416649,32.513863,-100.035301,0.039498,-0.024168,0.067984,0
74,1074300163,108.404068,32.561718,-100.065018,0.027203,-0.004080,-0.014567,0
75,1074316830,108.429932,32.617081,-100.081360,0.042803,0.000420,-0.013264,0
76,1074333497,108.470467,32.673996,-100.098907,-0.065369,-0.062890,0.160069,0
77,1074350164,108.475441,32.723190,-100.112198,-0.024488,-0.155854,0.032631,0
78,1074366831,108.484764,32.774494,-100.116211,-0.085628,-0.073918,-0.049394,0
79,1074383498,108.496262,32.832375,-100.116791,-0.099415,0.014365,-0.169631,0
80,1074400165,108.501556,32.903812,-100.123375,-0.132247,-0.059514,-0.055013,0
81,1074416832,108.489960,32.997452,-100.122246,-0.154768,0.093095,-0.174887,0
82,1074433499,108.428581,33.130520,-100.122498,0.067804,-0.021580,-0.227306,0
83,1074450166,108.296738,33.280220,-100.106285,-0.052374,-0.058435,-0.214138,0
84,1074466833,108.088142,33.445271,-100.100639,-0.096320,0.300958,-0.742208,0
85,1074483500,108.162704,33.619614,-100.074158,0.046793,0.617001,-1.156383,0
86,1074500167,108.406120,33.789413,-100.081810,-0.325337,0.376989,-0.310930,0
87,1074516834,108.763908,33.947681,-100.125221,-0.085692,0.108414,-0.231921,0
88,1074533501,109.057373,34.094269,-100.187683,-0.321184,-0.252381,0.400312,0
89,1074550168,109.149635,34.228561,-100.289345,-0.136048,-0.153770,0.054026,0
90,1074566835,109.162407,34.368164,-100.410408,-0.019881,0.093809,-0.289618,0
91,1074583502,109.198280,34.521629,-100.536041,0.049192,0.265399,-0.570995,0
92,1074600169,109.302849,34.680641,-100.665245,0.041637,0.251990,-0.373284,0
93,1074616836,109.429008,34.846916,-100.800545,-0.215608,0.139175,-0.016843,0
94,1074633503,109.502632,35.020382,-100.935585,-0.174067,0.198383,-0.096974,0
95,1074650170,109.525993,35.203758,-101.064796,-0.229922,0.191383,-0.109080,0
96,1074666837,109.495651,35.394676,-101.185928,-0.117692,-0.032881,-0.024030,0
97,1074683504,109.358475,35.595795,-101.269508,-0.044413,-0.022685,-0.121679,0
98,1074700171,109.216362,35.811558,-101.325882,-0.139806,-0.018370,0.039912,0
99,1074716838,108.980331,36.032825,-101.357132,-0.117636,-0.107052,-0.001996,0
100,1074733505,108.695587,36.274368,-101.360992,-0.037061,0.081160,-0.150651,0
101,1074750172,108.500656,36.545704,-101.326050,0.011772,0.554974,-0.943911,0
102,1074766839,108.450859,36.839996,-101.280182,-0.137436,0.384966,-0.159315,0
103,1074783506,108.407669,37.135189,-101.243935,0.139344,-0.060347,0.008332,0
104,1074800173,108.333237,37.398628,-101.180031,0.165403,-0.116883,0.244123,0
105,1074816840,108.179543,37.643658,-101.107025,-0.020171,-0.160805,0.535622,0
106,1074833507,107.909431,37.875080,-101.027184,0.215428,0.057164,0.198043,0
107,1074850174,107.686646,38.094074,-100.951675,0.201258,0.147028,0.218835,0
108,1074866841,107.473831,38.299221,-100.891731,0.168377,0.125522,0.097197,0
109,1074883508,107.297157,38.501247,-100.833359,0.074451,0.106617,0.033393,0
110,1074900175,107.109596,38.703400,-100.792152,-0.234670,-0.065845,0.312716,0
111,1074916842,106.857033,38.903732,-100.739319,-0.472165,-0.042244,0.343682,0
112,1074933509,106.571564,39.093369,-100.671730,-0.642944,0.033789,0.396133,0
113,1074950176,106.225906,39.256775,-100.591019,-0.859535,-0.011083,0.394820,0
114,1074966843,105.821266,39.422363,-100.488831,-0.903445,0.115855,0.472145,0
115,1074983510,105.271164,39.606319,-100.390938,-1.010637,0.302989,0.174734,0
116,1075000177,104.692711,39.829216,-100.308655,-0.980733,0.437943,0.014833,0
117,1075016844,103.977989,40.078594,-100.301933,-0.893809,0.256118,0.260829,0
118,1075033511,103.064789,40.339893,-100.355736,-0.681820,-0.109693,0.104144,0
119,1075050178,102.103813,40.622108,-100.405449,-0.875481,-0.428104,0.580020,0
120,1075066845,100.690414,40.909786,-100.498680,-0.879582,-1.161473,1.455107,0
121,1075083512,98.822098,41.194275,-100.608452,-0.481665,-0.783554,0.251513,0
122,1075100179,96.735825,41.488853,-100.725624,-0.493445,-0.917343,0.001762,0
123,1075116846,94.600807,41.791302,-100.807457,0.009657,-0.715115,-0.939641,0
124,1075133513,92.459991,42.132183,-100.836365,0.069333,-1.225101,-0.534772,0
125,1075150180,90.049660,42.516022,-100.835327,0.105311,-1.943490,-0.080102,0
126,1075166847,87.056900,42.883133,-100.849518,-0.319163,-2.164978,0.116817,0
127,1075183514,83.707985,43.216808,-100.854546,0.143962,-1.931567,-0.553038,0
128,1075200181,80.225021,43.541412,-100.789200,0.456637,-1.936277,-0.879814,0
129,1075216848,76.520668,43.884834,-100.688438,0.716488,-2.519315,-1.046567,0
130,1075233515,72.464104,44.234592,-100.500000,0.870444,-2.532657,-1.404117,0
131,1075250182,68.086540,44.586842,-100.269173,0.880871,-2.466260,-1.397780,0
132,1075266849,63.317822,44.953423,-100.012367,1.251654,-2.264355,-1.507351,0
133,1075283516,58.277184,45.379990,-99.750954,1.408949,-1.210461,-2.284807,0
134,1075300183,53.422779,45.845654,-99.445145,0.916468,-0.607034,-2.777551,0
135,1075316850,48.977123,46.382309,-99.100349,0.260181,-0.666500,-2.476613,0
136,1075333517,45.220238,46.933273,-98.686279,0.409979,-0.277265,-1.622965,0
137,1075350184,41.415466,47.497845,-98.410744,1.759406,-1.467422,-1.410911,0
138,1075366851,37.798992,48.148220,-98.030182,1.091710,-0.215551,-2.724448,0
139,1075383518,34.837715,48.920071,-97.573067,0.910162,0.740670,-2.294637,0
140,1075400185,32.048378,49.752716,-97.152817,2.245125,0.059808,-0.887134,0
141,1075416852,29.055468,50.537323,-96.739365,1.835697,0.232197,-0.234880,0
142,1075433519,26.407593,51.258419,-96.339470,0.610532,0.866126,-0.394332,0
143,1075450186,24.300997,51.949196,-95.935738,0.625244,1.181240,-0.392356,0
144,1075466853,22.584145,52.629406,-95.510033,0.972613,1.216169,-1.073722,0
145,1075483520,21.137638,53.360073,-95.057549,0.932371,1.261280,-0.862758,0
146,1075500187,20.082075,54.140381,-94.633682,0.007940,1.336214,-1.001455,0
147,1075516854,19.272087,54.964508,-94.327904,0.416074,1.178688,-0.054886,0
148,1075533521,18.399174,55.719326,-94.204872,0.603929,0.904001,0.495294,0
149,1075550188,17.431164,56.415543,-94.220795,1.067966,1.761760,0.134955,0
150,1075566855,16.253464,57.046593,-94.364212,0.846496,1.504135,-0.100801,0
151,1075583522,14.820086,57.689064,-94.717812,-0.279237,0.743717,0.157845,0
152,1075600189,13.461432,58.345695,-95.239182,-1.868859,1.214803,0.726276,0
153,1075616856,12.524864,58.948223,-95.898811,-1.102682,1.326768,0.695052,0
154,1075633523,11.542395,59.459385,-96.616943,0.862217,0.657177,0.657666,0
155,1075650190,10.102830,59.865387,-97.342339,-0.185145,0.649669,0.824732,0
156,1075666857,8.678245,60.224422,-98.156525,-1.848157,0.212453,1.420128,0
157,1075683524,7.390936,60.547783,-98.978279,0.053565,0.346374,1.858069,0
158,1075700191,6.174546,60.849869,-99.728508,0.497759,0.789778,1.419395,0
159,1075716858,4.874320,61.133335,-100.434151,1.011687,1.025947,1.474957,0
160,1075733525,3.423211,61.413727,-101.014061,-0.608408,2.280559,2.455232,0
161,1075750192,2.579827,61.504459,-101.465302,-3.001115,2.146038,4.180048,0
162,1075766859,2.485386,61.463924,-101.925453,-1.608576,2.340157,2.029091,0
163,1075783526,2.499801,61.402328,-102.249275,0.578566,1.659379,2.765570,0
164,1075800193,2.226643,61.213692,-102.518288,0.568246,1.116447,2.894660,0
165,1075816860,1.817325,60.996037,-102.768707,-0.530623,0.775940,1.809312,0
166,1075833527,1.386860,60.840027,-103.100342,0.048750,0.990521,0.977748,0
167,1075850194,0.715971,60.800884,-103.531349,0.888542,1.168519,0.534008,0
168,1075866861,-0.101703,60.818054,-103.929893,0.484143,0.884186,0.692608,0
169,1075883528,-0.841268,60.854733,-104.337822,-1.705346,0.041236,0.931722,0
170,1075900195,-1.389670,60.951576,-104.913277,0.482226,-1.285691,0.487123,0
171,1075916862,-2.081699,61.063675,-105.478966,0.639539,-2.753142,0.284244,0
172,1075933529,-2.820371,61.131130,-106.067055,0.588414,-2.309527,0.898344,0
173,1075950196,-3.607828,61.134682,-106.704956,-0.061443,-1.803293,1.132647,0
174,1075966863,-4.294952,61.024284,-107.391487,-0.723706,-1.680000,1.579346,0
175,1075983530,-4.818052,60.837685,-108.074203,-0.087860,-1.545563,1.343283,0
176,1076000197,-5.265564,60.620205,-108.761559,0.557854,-1.218461,1.630075,0
177,1076016864,-6.111125,60.339653,-109.478668,1.255679,-1.295175,1.740559,0
178,1076033531,-7.134240,59.997181,-110.282867,-0.205168,-0.519999,2.516136,0
179,1076050198,-8.003102,59.576607,-111.236038,-0.984803,0.264268,3.086053,0
180,1076066865,-8.903541,59.083748,-112.345871,-0.101104,0.473400,4.071252,0
181,1076083532,-9.590030,58.511341,-113.531456,-1.218695,1.586756,4.414437,0
182,1076100199,-9.713351,57.868111,-114.706741,-1.315684,3.233985,3.429913,0
183,1076116866,-9.124782,57.235996,-115.768921,-0.183448,3.103792,3.952971,0
184,1076133533,-8.184535,56.486374,-116.660004,1.363414,2.953679,4.899113,0
185,1076150200,-6.847025,55.613777,-117.262672,2.288890,2.849882,4.727026,0
186,1076166867,-5.243389,54.694904,-117.640732,3.076457,2.318458,4.253631,0
187,1076183534,-3.537931,53.734688,-117.775879,4.172311,2.389361,3.961717,0
188,1076200201,-1.806661,52.729881,-117.611023,4.723338,2.921397,3.169589,0
189,1076216868,0.060797,51.749374,-117.118759,5.753378,2.118338,3.626276,0
190,1076233535,2.059720,50.755463,-116.154610,7.638873,2.047676,3.730201,0
191,1076250202,4.457672,49.803230,-114.727837,7.288986,2.475536,2.516235,0
192,1076266869,7.777277,49.013191,-112.763481,7.396196,2.187504,1.713735,0
