sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_19:04:23_047 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,1546424310,76.437233,62.489189,-151.300690,-0.028280,0.106726,1.116113,0
2,1546440977,76.073967,62.413620,-151.670288,-0.240267,0.101531,1.103464,0
3,1546457644,75.455139,62.163677,-152.315887,-0.175448,0.147288,0.918324,0
4,1546474311,74.883774,61.889778,-153.070145,-0.052275,0.234357,0.750224,0
5,1546490978,74.435669,61.640148,-153.857117,-0.165929,0.162298,0.678113,0
6,1546507645,74.132599,61.330170,-154.600433,-0.238324,-0.063655,0.722107,0
7,1546524312,73.865974,60.950859,-155.261459,-0.568290,-0.336316,0.909400,0
8,1546540979,73.530472,60.459530,-155.890060,-0.463501,-0.132129,0.917272,0
9,1546557646,73.163506,59.902481,-156.576019,-0.193086,0.123953,0.817962,0
10,1546574313,72.865074,59.315720,-157.307922,-0.121865,-0.009257,0.740119,0
11,1546590980,72.666519,58.690102,-158.026886,-0.224648,-0.177049,0.848985,0
12,1546607647,72.447639,58.006084,-158.762650,-0.247796,-0.119569,0.983686,0
13,1546624314,72.219238,57.268200,-159.509354,-0.165330,-0.008287,0.847790,0
14,1546640981,72.030853,56.482494,-160.248413,0.150476,0.133505,0.522743,0
15,1546657648,72.010086,55.675480,-160.976166,0.366123,0.161671,0.435930,0
16,1546674315,72.059013,54.856522,-161.719971,0.297861,-0.005725,0.575080,0
17,1546690982,72.085556,54.020718,-162.470566,0.357068,0.147107,0.481574,0
18,1546707649,72.185089,53.168709,-163.201859,0.605168,0.134306,0.269128,0
19,1546724316,72.379570,52.308609,-163.898300,0.663480,0.154242,0.378687,0
20,1546740983,72.614388,51.438419,-164.628128,0.734940,0.141888,0.721259,0
21,1546757650,72.636047,50.552429,-165.414688,0.522671,-0.077254,0.399420,0
22,1546774317,72.649734,49.668468,-166.170273,0.956461,0.187716,0.056755,0
23,1546790984,72.642685,48.786900,-166.960464,0.944217,0.195968,0.186180,0
24,1546807651,72.606194,47.917908,-167.754288,1.022527,0.154716,-0.174439,0
25,1546824318,72.609253,47.068645,-168.546127,1.010911,0.397403,-0.163465,0
26,1546840985,72.630074,46.240646,-169.355759,0.986486,0.511727,-0.323383,0
27,1546857652,72.715721,45.438190,-170.165558,1.053648,0.432281,-0.463049,0
28,1546874319,72.830719,44.665089,-171.007309,1.010897,0.492228,-0.451098,0
29,1546890986,72.940430,43.903080,-171.852173,0.720872,0.437210,-0.232021,0
30,1546907653,73.024368,43.147118,-172.710037,0.659021,0.538064,-0.342555,0
31,1546924320,73.148949,42.396736,-173.573517,0.656206,0.461874,-0.379811,0
