sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_19:12:05_595 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2008996680,72.001549,7.932364,179.066696,-0.305615,-0.103973,-0.479423,0
2,2009013347,72.287376,7.635933,179.002319,-0.475414,-0.194143,-0.477722,0
3,2009030014,72.684212,7.226487,178.955185,-0.435111,-0.341775,-0.352701,0
4,2009046681,73.131226,6.916800,178.894165,-0.412801,-0.440351,-0.081881,0
5,2009063348,73.582588,6.714129,178.835098,-0.423048,-0.503731,-0.066646,0
6,2009080015,74.020294,6.583783,178.832764,-0.401720,-0.533750,0.257075,0
7,2009096682,74.372864,6.498887,178.868790,-0.377791,-0.561384,0.574907,0
8,2009113349,74.642426,6.445261,178.944519,-0.353910,-0.625914,0.527657,0
9,2009130016,74.859222,6.404896,179.058380,-0.304699,-0.553912,0.565430,0
10,2009146683,75.060616,6.376520,179.218475,-0.329122,-0.503088,0.473575,0
11,2009163350,75.230583,6.355570,179.420425,-0.271999,-0.490747,0.591741,0
12,2009180017,75.381615,6.341713,179.659195,-0.248202,-0.574159,0.492244,0
13,2009196684,75.538673,6.334366,179.938324,-0.215817,-0.565228,0.534370,0
14,2009213351,75.702522,6.327928,-179.747406,-0.300775,-0.596987,0.525725,0
15,2009230018,75.867653,6.312616,-179.399033,-0.417003,-0.700331,0.458203,0
16,2009246685,76.038902,6.276831,-179.002518,-0.559225,-0.744446,0.580489,0
17,2009263352,76.201149,6.209517,-178.517288,-0.758570,-0.767947,0.616104,0
18,2009280019,76.351471,6.119915,-177.952515,-0.898623,-0.886109,0.528435,0
19,2009296686,76.482147,6.014206,-177.343063,-0.892060,-0.885677,0.623664,0
20,2009313353,76.599052,5.887795,-176.675766,-0.741508,-0.916179,0.467319,0
21,2009330020,76.777573,5.738295,-175.959198,-0.821233,-0.886872,0.538073,0
22,2009346687,76.982986,5.565975,-175.184311,-0.829338,-1.096224,0.478075,0
23,2009363354,77.224472,5.392173,-174.332672,-0.989132,-1.866121,-0.054464,0
