sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_19:24:34_840 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2758210434,95.821747,-3.333548,73.985977,0.221836,0.121210,0.377724,0
2,2758227101,96.588470,-3.331125,73.592751,0.570092,0.119386,0.518839,0
3,2758243768,96.828720,-3.422975,73.135872,1.124306,-0.529366,1.040518,0
4,2758260435,96.453453,-3.287605,72.699471,0.742972,-0.317827,1.638805,0
5,2758277102,95.985329,-3.151467,72.137619,0.518815,0.484351,0.932525,0
6,2758293769,95.752708,-3.193414,71.446815,-0.346892,0.982497,0.189938,0
7,2758310436,95.841820,-3.307322,70.796417,-1.349808,1.531443,0.797477,0
8,2758327103,96.067833,-3.485705,70.248116,-1.436267,1.976510,1.067060,0
9,2758343770,96.250252,-3.728713,69.812798,-0.856784,1.837772,0.514009,0
10,2758360437,96.401482,-3.976157,69.434845,-0.603967,1.481442,-0.203596,0
11,2758377104,96.621002,-4.195268,69.082085,-0.296247,1.093894,-0.387804,0
12,2758393771,96.909531,-4.391505,68.702667,-0.145236,0.842371,-0.192784,0
13,2758410438,97.207970,-4.557493,68.302811,-0.073815,0.589595,-0.187004,0
14,2758427105,97.456490,-4.683484,67.877594,-0.548694,1.227400,-0.612766,0
15,2758443772,97.926979,-4.776056,67.480469,-0.518274,0.769192,-0.864306,0
16,2758460439,98.276573,-4.838598,67.122322,-0.097939,0.110377,0.320747,0
17,2758477106,98.406204,-4.866667,66.697144,-0.125732,0.450443,-0.097868,0
18,2758493773,98.611916,-4.884671,66.239685,-0.520621,0.932381,-0.678978,0
19,2758510440,98.920715,-4.875213,65.805679,-0.801846,1.042837,-0.720110,0
20,2758527107,99.262665,-4.860244,65.416725,-0.842346,0.916922,-0.261374,0
21,2758543774,99.552155,-4.819818,65.074684,-0.906317,0.888557,-0.203611,0
22,2758560441,99.895126,-4.773249,64.750786,-0.995602,0.801471,-0.561647,0
23,2758577108,100.425018,-4.688893,64.463486,-1.168229,0.951828,-0.612551,0
24,2758593775,101.070160,-4.579511,64.197922,-1.007372,1.250132,-0.281960,0
25,2758610442,101.761978,-4.455564,64.042702,-0.808311,1.139591,-0.178496,0
26,2758627109,102.363708,-4.322073,63.904369,0.128102,0.274642,0.198668,0
27,2758643776,102.844505,-4.212759,63.711868,0.797789,-0.387308,0.018908,0
28,2758660443,103.363770,-4.122197,63.408623,0.835572,-0.725002,-0.152178,0
29,2758677110,103.875427,-4.023555,63.036835,0.551489,-0.232862,0.251387,0
30,2758693777,104.269119,-3.916014,62.640224,0.652511,0.261173,0.631122,0
31,2758710444,104.490974,-3.822080,62.266457,0.922943,0.423189,0.611453,0
32,2758727111,104.600021,-3.755365,61.897682,1.396666,0.046217,0.702251,0
33,2758743778,104.714645,-3.726991,61.487114,0.241253,0.496857,0.549047,0
34,2758760445,104.742973,-3.741100,61.199978,0.849635,-0.222252,1.673081,0
35,2758777112,104.421165,-3.794301,60.912613,0.871588,-0.679831,1.110483,0
36,2758793779,103.983223,-3.819417,60.633167,0.577825,-0.135098,-0.198718,0
37,2758810446,103.676071,-3.818930,60.447201,-0.003501,0.553246,-0.096601,0
38,2758827113,103.436417,-3.820601,60.401035,-0.782639,1.305695,0.109125,0
39,2758843780,103.249435,-3.765447,60.545269,-1.650078,1.407878,-0.819729,0
40,2758860447,103.090073,-3.613629,60.892197,-1.384120,1.347762,-1.039328,0
41,2758877114,103.059761,-3.364233,61.337990,-1.136672,0.898338,-1.849570,0
42,2758893781,103.439011,-3.016274,61.817917,-0.954765,0.552602,-1.681986,0
43,2758910448,104.245735,-2.668004,62.260479,-1.300858,0.256662,-1.864528,0
44,2758927115,105.510307,-2.303559,62.624496,-0.842349,0.135201,-1.252611,0
45,2758943782,107.066681,-1.939166,62.937107,-1.597975,1.076536,-0.165803,0
46,2758960449,108.122139,-1.645511,63.250160,0.695116,-1.183386,2.234492,0
47,2758977116,108.483795,-1.401860,63.253269,0.186778,-0.931012,0.011531,0
48,2758993783,109.149750,-1.168467,63.110394,-0.577672,1.396029,-0.712010,0
49,2759010450,109.917015,-1.022718,63.016739,0.355789,0.616606,0.059246,0
50,2759027117,110.945251,-0.931749,62.703075,-2.158136,2.999853,-1.367313,0
51,2759043784,113.246819,-0.961693,62.748486,-2.448938,5.226912,1.300884,0
52,2759060451,114.661621,-1.221730,63.142437,2.455445,-3.210318,4.506801,0
53,2759077118,114.020645,-1.441674,62.969482,3.322556,-3.673897,1.891548,0
54,2759093785,113.167503,-1.665947,62.605022,1.461804,2.212675,-1.193847,0
55,2759110452,112.840622,-1.935163,62.411133,0.026363,1.420941,-1.699388,0
56,2759127119,112.852890,-2.154073,62.323059,-0.188766,0.435916,-1.286689,0
57,2759143786,113.138878,-2.331471,62.318653,-0.204389,0.827196,-0.283609,0
58,2759160453,113.184914,-2.492632,62.378281,0.325962,0.532355,0.223522,0
59,2759177120,112.885170,-2.579700,62.551254,-1.035353,1.271371,0.115410,0
60,2759193787,112.491127,-2.739319,62.966026,0.253144,-0.046238,-0.650103,0
61,2759210454,112.172668,-2.738736,63.273506,-0.255595,0.481990,-0.496416,0
62,2759227121,112.047646,-2.759448,63.613152,-0.179125,0.553674,0.242419,0
63,2759243788,111.674774,-2.828374,64.000671,0.876277,-0.159442,2.315844,0
64,2759260455,110.148346,-3.061041,64.293282,1.343733,-0.348173,2.375159,0
65,2759277122,108.390404,-3.355255,64.469635,-0.376449,-1.977762,0.179458,0
66,2759293789,107.613388,-3.688926,64.476044,-1.427228,-1.201454,-1.849188,0
67,2759310456,108.173241,-4.045758,64.314354,1.118278,0.330624,-0.307321,0
68,2759327123,108.813873,-4.426478,64.068962,2.733082,-0.287986,1.888496,0
69,2759343790,108.658676,-4.820773,63.619759,2.752685,-1.503712,1.785385,0
70,2759360457,107.938644,-5.170824,63.018822,1.064726,-0.350313,0.611584,0
71,2759377124,107.260620,-5.531362,62.434391,-1.281318,1.135553,0.065643,0
72,2759393791,106.731926,-5.894249,62.113190,-2.251764,2.133811,0.400084,0
73,2759410458,106.247047,-6.207097,62.084160,-2.537513,2.481722,-1.328659,0
74,2759427125,105.944405,-6.419135,62.333332,-2.906540,2.273852,-2.078475,0
