sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-04_19:57:26_185 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,11621255,57.076073,-19.811066,-134.710510,-0.000458,0.028634,0.113196,0
2,11637922,57.110184,-19.779041,-134.658997,-0.010879,-0.007119,0.069378,0
3,11654589,57.163651,-19.768715,-134.629013,0.000047,-0.035357,0.083070,0
4,11671256,57.216805,-19.778585,-134.600204,-0.088830,-0.025857,0.094253,0
5,11687923,57.250755,-19.811562,-134.550888,-0.174745,-0.051685,0.023216,0
6,11704590,57.259182,-19.877020,-134.497223,-0.088695,-0.010208,0.197316,0
7,11721257,57.248295,-19.931932,-134.458145,-0.174955,0.004079,0.107490,0
8,11737924,57.217545,-19.987360,-134.423233,-0.193136,0.024124,0.097371,0
9,11754591,57.165417,-20.038601,-134.387421,-0.232718,0.016102,0.129701,0
10,11771258,57.075603,-20.084932,-134.348007,-0.204124,-0.013863,0.103302,0
11,11787925,56.952419,-20.130344,-134.318497,-0.141920,0.041293,0.162452,0
12,11804592,56.808922,-20.174274,-134.274185,-0.161672,0.091668,0.209976,0
13,11821259,56.690872,-20.219839,-134.247299,-0.225682,0.131483,0.138139,0
14,11837926,56.606152,-20.266211,-134.224167,-0.179896,0.090527,0.081529,0
15,11854593,56.533009,-20.317915,-134.188950,-0.153910,0.096349,0.138968,0
16,11871260,56.465363,-20.368727,-134.162231,-0.214542,0.068924,-0.002263,0
17,11887927,56.401283,-20.419176,-134.131332,-0.176757,0.076090,0.069261,0
18,11904594,56.328812,-20.470203,-134.137451,-0.166023,0.114778,0.051218,0
19,11921261,56.257244,-20.520245,-134.119965,-0.149628,0.073499,0.033676,0
20,11937928,56.166988,-20.575621,-134.095154,-0.039975,0.082321,0.170557,0
21,11954595,56.085190,-20.630011,-134.115387,-0.120765,0.062235,0.071312,0
22,11971262,56.024090,-20.677540,-134.150925,-0.086672,-0.000178,0.011680,0
23,11987929,55.969860,-20.725311,-134.171051,-0.047883,0.035847,0.048363,0
24,12004596,55.935169,-20.767927,-134.244247,-0.067555,0.041831,-0.000643,0
25,12021263,55.924347,-20.805538,-134.315414,-0.055965,-0.086836,-0.115948,0
26,12037930,55.906757,-20.845045,-134.380402,0.073622,0.026024,0.109480,0
27,12054597,55.890278,-20.877028,-134.422195,-0.049810,-0.004097,-0.161292,0
28,12071264,55.909512,-20.903105,-134.529861,0.048893,-0.094885,-0.124795,0
29,12087931,55.919186,-20.926525,-134.574814,0.132482,-0.021037,0.043468,0
