sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-08_19:11:25_867 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,102369792,0.832894,55.266266,55.236671,0.195800,0.481867,0.801039,0
2,102386459,-1.268704,55.646793,53.584270,0.151964,0.449389,0.890446,0
3,102403126,-3.225636,55.876759,52.145416,0.132482,0.404520,1.104844,0
4,102419793,-5.096984,56.048164,50.806213,-0.012896,0.449806,1.321639,0
5,102436460,-6.657858,56.138378,49.701839,-0.041714,0.237327,1.305631,0
6,102453127,-7.869870,56.164349,48.720146,-0.015843,-0.119227,1.198236,0
7,102469794,-8.717993,56.120449,47.874172,-0.258312,-0.096729,1.164640,0
8,102486461,-9.068662,55.991055,47.347023,-0.577304,0.098023,1.147510,0
9,102503128,-8.880411,55.766365,47.230907,-0.730986,0.313023,0.987782,0
10,102519795,-8.242311,55.454689,47.514023,-0.713213,0.390623,0.818424,0
11,102536462,-7.289721,55.043537,48.144367,-0.815830,0.251939,0.931674,0
12,102553129,-6.068751,54.517162,49.079350,-0.843496,-0.203176,1.048435,0
13,102569796,-4.562598,53.857246,50.237839,-0.841432,-0.896546,0.950102,0
14,102586463,-2.753724,53.063297,51.565556,-0.887803,-1.634979,0.537341,0
15,102603130,-0.660025,52.167648,52.954041,-0.963953,-1.990394,0.047492,0
16,102619797,1.672244,51.192116,54.378887,-0.988170,-2.232793,-0.271873,0
17,102636464,4.209430,50.132683,55.822124,-0.967721,-2.315512,-0.370773,0
18,102653131,6.852264,48.968597,57.255314,-0.962289,-2.264997,-0.317045,0
19,102669798,9.545928,47.683636,58.663116,-0.789981,-2.561568,-0.433165,0
20,102686465,12.288600,46.258533,60.014126,-0.679483,-2.951870,-0.593679,0
21,102703132,15.050170,44.724304,61.305546,-0.897586,-3.514594,-0.611342,0
22,102719799,17.834414,43.116474,62.534576,-1.414324,-4.344590,-0.517400,0
23,102736466,20.704769,41.501915,63.682610,-1.679497,-5.009656,-0.618666,0
24,102753133,23.720942,39.938251,64.741653,-1.332029,-5.108081,-0.724321,0
25,102769800,26.831873,38.459629,65.733086,-0.666931,-4.692580,-0.781527,0
26,102786467,29.972862,37.086761,66.666504,0.390745,-4.130772,-0.808475,0
27,102803134,33.039135,35.881786,67.575089,0.964072,-3.464133,-0.851820,0
28,102819801,35.848709,34.897659,68.484848,1.416677,-2.747605,-0.681318,0
29,102836468,38.243084,34.176422,69.450150,2.061010,-2.015366,-0.671404,0
30,102853135,40.019333,33.672226,70.524849,3.008773,-1.378907,-0.468658,0
31,102869802,41.076588,33.307041,71.722664,3.949257,-0.647570,-0.458739,0
32,102886469,41.390430,33.046288,73.062881,4.293555,-0.351168,-1.062297,0
33,102903136,41.252293,32.936947,74.475616,4.352197,-1.138530,-2.091700,0
34,102919803,40.885056,33.051868,75.871429,3.931574,-1.607715,-2.308481,0
35,102936470,40.163460,33.447376,77.175194,3.323701,-1.645847,-1.728703,0
36,102953137,39.211636,34.211132,78.456520,3.722389,-3.629967,-3.652598,0
37,102969804,38.784103,35.246391,79.364639,4.074858,-2.890028,-2.580643,0
38,102986471,38.372120,36.603455,80.096474,3.606707,-2.109912,-1.083209,0
39,103003138,37.931721,38.112598,80.564812,3.852320,-2.267127,-0.067988,0
40,103019805,37.494473,39.654484,80.750107,3.555675,-2.315282,0.978014,0
41,103036472,36.554680,41.096230,80.758736,2.103590,-1.294735,1.845243,0
42,103053139,34.865570,42.416553,80.658112,1.830933,-2.146463,1.741403,0
43,103069806,32.559994,43.587605,80.463943,1.636384,-3.101712,1.089172,0
44,103086473,30.030603,44.620564,80.143463,1.781706,-3.540494,0.727249,0
45,103103140,27.648802,45.582066,79.634949,1.619275,-3.696856,0.240693,0
46,103119807,25.671003,46.562572,78.913742,1.282688,-4.038577,-0.230429,0
47,103136474,24.134876,47.642178,77.976128,0.362328,-3.899406,-0.639871,0
48,103153141,22.775953,48.898464,76.878487,-0.283400,-3.131339,-0.980090,0
49,103169808,21.406553,50.386551,75.645416,0.293027,-2.764945,-1.339466,0
50,103186475,20.015860,52.070930,74.202057,0.932327,-2.025781,-1.331754,0
51,103203142,18.392641,53.934402,72.550751,0.849726,-0.875536,-0.736932,0
52,103219809,16.415144,55.917992,70.631691,1.331598,-0.495564,-0.110496,0
53,103236476,14.138369,57.945885,68.315506,1.378679,-0.333989,0.558583,0
54,103253143,11.476546,59.952560,65.550240,1.009038,-0.042043,0.665795,0
55,103269810,8.431645,61.895290,62.321617,1.155222,0.140284,0.866936,0
56,103286477,5.047806,63.694778,58.558704,1.271547,0.702672,1.394482,0
57,103303144,1.261256,65.279076,54.292603,1.297885,1.786597,2.063882,0
58,103319811,-2.946740,66.583893,49.641212,1.467454,3.002152,2.576000,0
