sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-08_19:23:35_998 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,832479068,48.882572,72.656204,119.781059,0.060888,0.024054,0.138840,0
2,832495735,48.447884,72.342026,119.322327,0.304156,-0.054334,-0.039886,0
3,832512402,47.531532,72.211327,118.379982,0.418946,-0.142575,-0.073858,0
4,832529069,46.545399,72.188194,117.332764,0.323489,-0.114912,-0.016476,0
5,832545736,45.757656,72.150101,116.446205,0.226131,-0.104736,0.041121,0
6,832562403,45.187233,72.084244,115.744278,0.192140,-0.082915,0.133401,0
7,832579070,44.732182,71.996246,115.177567,0.231311,-0.101878,0.189373,0
8,832595737,44.339336,71.908264,114.681870,0.246973,-0.149672,0.132324,0
9,832612404,44.000038,71.822403,114.232948,0.181033,-0.066784,0.113501,0
10,832629071,43.738037,71.737617,113.845940,0.193123,-0.108108,0.006010,0
11,832645738,43.546726,71.658295,113.503174,0.141447,-0.083331,-0.041676,0
12,832662405,43.396591,71.586197,113.206306,0.040151,-0.042693,-0.002070,0
13,832679072,43.281044,71.520218,112.965485,0.025134,-0.063515,-0.042995,0
14,832695739,43.190475,71.467667,112.777008,-0.041311,-0.030566,-0.061706,0
15,832712406,43.090759,71.431000,112.651939,-0.175576,-0.008327,-0.032359,0
16,832729073,42.963161,71.406631,112.535782,-0.175472,-0.061552,-0.062121,0
17,832745740,42.825855,71.403389,112.511055,-0.033007,-0.174243,-0.115506,0
18,832762407,42.693409,71.424866,112.463112,-0.050939,-0.181456,-0.110481,0
19,832779074,42.577499,71.470917,112.448257,-0.024917,-0.198073,-0.068934,0
20,832795741,42.488796,71.529060,112.439842,0.024550,-0.199531,-0.060038,0
21,832812408,42.431137,71.600433,112.378418,-0.025306,-0.133706,-0.036905,0
22,832829075,42.379192,71.681206,112.361282,-0.113347,-0.016947,0.012240,0
23,832845742,42.325401,71.761047,112.343605,-0.066353,0.043985,0.043633,0
24,832862409,42.273823,71.838455,112.342514,-0.092276,0.092952,0.037688,0
25,832879076,42.217140,71.918129,112.378471,-0.105946,0.156270,0.047592,0
26,832895743,42.158100,71.996613,112.451477,-0.070114,0.191677,0.018337,0
27,832912410,42.094570,72.077187,112.488258,-0.005129,0.211124,0.024196,0
28,832929077,42.025883,72.160294,112.504326,0.031321,0.176334,0.067382,0
29,832945744,41.952751,72.243660,112.488762,0.012263,0.206890,0.074362,0
30,832962411,41.865753,72.334747,112.412086,0.039359,0.229546,0.036141,0
31,832979078,41.762043,72.425247,112.313171,0.077000,0.262156,0.013893,0
32,832995745,41.641594,72.516212,112.210060,0.072645,0.291257,-0.000664,0
33,833012412,41.518593,72.606537,112.082840,-0.008673,0.319331,0.050355,0
34,833029079,41.370113,72.697556,111.933693,-0.012588,0.299217,0.149364,0
35,833045746,41.192879,72.791916,111.739349,0.019336,0.250460,0.156928,0
36,833062413,41.016842,72.885574,111.621490,-0.030802,0.267231,0.140178,0
37,833079080,40.826557,72.978065,111.329254,-0.093957,0.321248,0.155388,0
38,833095747,40.629463,73.066124,111.106758,-0.066958,0.289910,0.108576,0
39,833112414,40.451599,73.147049,110.821655,-0.091697,0.281616,0.039221,0
40,833129081,40.293240,73.221825,110.656525,-0.145276,0.320229,0.045799,0
41,833145748,40.151081,73.287674,110.484093,-0.203937,0.351263,0.070700,0
42,833162415,40.014027,73.345123,110.338730,-0.192603,0.332114,0.148010,0
43,833179082,39.887177,73.390076,110.183548,-0.174249,0.323947,0.142451,0
44,833195749,39.777279,73.426453,109.991905,-0.199754,0.327462,0.084375,0
45,833212416,39.685986,73.454346,109.777077,-0.230351,0.304025,0.073805,0
46,833229083,39.611404,73.472038,109.714371,-0.178834,0.324302,0.127405,0
47,833245750,39.559292,73.478989,109.584038,-0.170531,0.306431,0.132597,0
48,833262417,39.530895,73.475204,109.503914,-0.257500,0.360041,0.127934,0
49,833279084,39.507366,73.466362,109.340836,-0.303177,0.347250,0.084888,0
50,833295751,39.497169,73.451714,109.326164,-0.232877,0.307575,0.089595,0
51,833312418,39.497681,73.426292,109.353683,-0.183651,0.338912,0.092104,0
52,833329085,39.499050,73.395386,109.281647,-0.189640,0.346239,0.107331,0
53,833345752,39.500034,73.357491,109.326141,-0.211907,0.307997,0.107031,0
54,833362419,39.500683,73.318062,109.289459,-0.216160,0.309963,0.097868,0
55,833379086,39.498714,73.276505,109.306129,-0.181263,0.276667,0.115879,0
56,833395753,39.501369,73.233635,109.335945,-0.160304,0.227796,0.099414,0
57,833412420,39.506920,73.194572,109.322983,-0.198944,0.203900,0.073046,0
58,833429087,39.507092,73.159035,109.337852,-0.201037,0.221912,0.076496,0
59,833445754,39.504620,73.126122,109.330658,-0.154263,0.163971,0.087561,0
60,833462421,39.509892,73.093315,109.333794,-0.132643,0.150962,0.092019,0
61,833479088,39.529499,73.060524,109.364853,-0.133856,0.166010,0.106923,0
62,833495755,39.541962,73.025093,109.431061,-0.118040,0.152402,0.091310,0
63,833512422,39.550018,72.991364,109.531891,-0.071371,0.114454,0.073769,0
64,833529089,39.567162,72.957588,109.612289,-0.067857,0.122585,0.079782,0
65,833545756,39.581623,72.926521,109.678749,-0.046875,0.104475,0.122669,0
66,833562423,39.597107,72.899010,109.745583,-0.034012,0.101822,0.099153,0
67,833579090,39.596718,72.874435,109.811920,-0.009254,0.121682,0.082554,0
68,833595757,39.585781,72.851593,109.797577,0.025221,0.114301,0.033127,0
69,833612424,39.574947,72.828445,109.864220,0.038957,0.126462,0.027527,0
70,833629091,39.564793,72.811867,109.897575,0.000669,0.114624,0.127738,0
71,833645758,39.526085,72.800865,109.807030,-0.004836,0.141921,0.170942,0
72,833662425,39.470730,72.796753,109.672089,0.030359,0.126071,0.145707,0
73,833679092,39.422886,72.796898,109.416054,0.018448,0.135821,0.143199,0
74,833695759,39.376659,72.797333,109.280144,-0.030385,0.190301,0.122256,0
75,833712426,39.328125,72.796249,109.318382,-0.051963,0.202638,0.053478,0
76,833729093,39.281860,72.792549,109.192581,-0.044783,0.204458,0.010704,0
77,833745760,39.231979,72.789108,109.148376,-0.075426,0.210566,0.013080,0
78,833762427,39.165855,72.787949,109.101448,-0.071060,0.161804,0.073404,0
79,833779094,39.097275,72.789894,109.006348,-0.047052,0.107946,0.100502,0
80,833795761,39.026306,72.794487,109.003250,-0.074170,0.122977,0.113031,0
81,833812428,38.963902,72.802864,108.824684,-0.104074,0.130736,0.102101,0
82,833829095,38.899708,72.809334,108.779579,-0.138086,0.150219,0.094271,0
83,833845762,38.850616,72.812836,108.781654,-0.182224,0.150005,0.137741,0
84,833862429,38.808121,72.813202,108.704025,-0.167412,0.165969,0.144803,0
85,833879096,38.771240,72.808929,108.669647,-0.121192,0.110905,0.111254,0
86,833895763,38.755981,72.798126,108.530396,-0.078325,0.134352,0.078730,0
87,833912430,38.755947,72.782944,108.211891,-0.103963,0.118252,0.071029,0
88,833929097,38.763371,72.762451,108.327576,-0.101334,0.138666,0.074348,0
89,833945764,38.762112,72.737694,108.270271,-0.088412,0.132904,0.108842,0
90,833962431,38.749836,72.712082,108.328171,-0.083071,0.109635,0.089590,0
