sep=,
DeviceTag:,RW2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-12_20:03:26_736 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,416923657,60.346607,-14.259898,53.001896,0.305796,-1.597646,0.611788,0
2,416940324,57.943699,-12.650601,53.401543,0.387652,-1.561985,0.672968,0
3,416956991,55.850224,-10.988610,53.812302,-0.279917,-1.244687,1.679749,0
4,416973658,54.769218,-9.470786,53.830502,-0.447275,-0.865590,1.499023,0
5,416990325,54.004997,-8.290238,53.741085,-0.114003,-0.851373,1.716264,0
6,417006992,53.214306,-7.421484,53.688622,0.255841,-0.860551,1.046921,0
7,417023659,52.472157,-6.795731,53.735828,0.178955,-1.202070,1.163321,0
8,417040326,51.780796,-6.317787,53.853775,0.434249,-0.174281,1.001736,0
9,417056993,51.058491,-5.946448,54.057915,-0.649446,-0.064681,2.051586,0
10,417073660,50.134827,-5.566861,54.204983,0.389750,-0.615765,0.668707,0
11,417090327,49.414326,-5.173827,54.335289,0.884711,-1.195733,-0.565639,0
12,417106994,48.588100,-4.771261,54.488758,0.415752,-0.526150,-0.312928,0
13,417123661,47.626308,-4.442629,54.659477,-0.254749,-0.147742,0.023307,0
14,417140328,46.754025,-4.102475,54.856632,-0.437442,0.365754,-1.184217,0
15,417156995,45.875652,-3.784001,54.999821,-0.416228,0.409106,-0.714955,0
16,417173662,45.007759,-3.535137,55.092121,-0.293022,0.072330,-1.393710,0
17,417190329,44.215450,-3.366030,55.129890,-0.447921,0.285424,-1.779012,0
18,417206996,43.548298,-3.297865,55.096416,-0.998977,0.548703,-1.848005,0
19,417223663,43.129005,-3.353907,54.977459,-1.707000,0.661143,-1.791228,0
20,417240330,43.003799,-3.565117,54.774124,-2.423691,0.711528,-1.823073,0
21,417256997,43.187832,-3.945159,54.493874,-2.819939,0.518948,-1.971889,0
22,417273664,43.625225,-4.487752,54.131519,-2.941044,0.105157,-2.530622,0
23,417290331,44.262463,-5.186027,53.650455,-3.106743,-0.256756,-3.056484,0
24,417306998,44.706459,-5.970201,52.949776,-3.435138,-0.121331,-3.413369,0
25,417323665,45.254860,-6.873920,52.107803,-3.798110,-0.100153,-4.178883,0
26,417340332,46.038723,-7.839541,51.078033,-3.941059,-0.028153,-3.852212,0
27,417356999,46.885006,-8.855824,49.878262,-4.046177,-0.434115,-2.902715,0
28,417373666,48.006062,-9.928264,48.611511,-3.592274,-1.363960,-3.013877,0
29,417390333,49.168736,-11.048588,47.204243,-3.774896,-1.897273,-1.170316,0
30,417407000,50.463917,-12.160286,45.532543,-2.749496,-3.305698,-2.888760,0
31,417423667,52.157078,-13.089476,43.626610,-2.853240,-3.099905,-2.856578,0
32,417440334,53.310780,-13.853799,41.538807,-2.681080,-2.630943,-1.751233,0
33,417457001,53.918217,-14.425124,39.390358,-1.565150,-3.454350,-2.689877,0
34,417473668,54.425468,-14.961353,37.245625,-0.952185,-4.167394,-2.827884,0
35,417490335,55.323078,-15.463093,35.149429,-0.141079,-3.979119,-3.055982,0
36,417507002,56.965355,-15.868695,33.172268,0.363749,-2.042626,-2.236634,0
37,417523669,59.140423,-15.993189,31.399305,0.784323,0.441450,-0.089217,0
38,417540336,60.983521,-15.795157,29.866566,0.966996,1.803344,2.460402,0
39,417557003,62.092567,-15.265057,28.579248,1.153758,1.317863,3.999573,0
40,417573670,62.847172,-14.405368,27.429817,2.100427,0.275764,2.165265,0
41,417590337,63.952946,-13.306814,26.411354,2.519751,-0.123379,1.254144,0
42,417607004,65.538803,-12.158414,25.585173,1.402363,0.107248,2.618145,0
43,417623671,66.929146,-11.080070,24.925663,0.767635,0.762543,3.971661,0
44,417640338,67.836166,-10.074638,24.428312,0.785418,1.291624,2.552094,0
45,417657005,68.300522,-9.194036,24.114861,0.765191,1.748973,2.167340,0
46,417673672,68.101273,-8.454840,23.948610,1.179091,1.765842,1.275664,0
47,417690339,67.789612,-7.844598,23.917696,1.565219,1.114357,-0.204825,0
48,417707006,67.366028,-7.315769,23.947496,1.761230,0.373045,-0.731889,0
49,417723673,66.734947,-6.808223,24.014645,1.636653,0.121221,-1.119194,0
50,417740340,66.027702,-6.301861,24.116053,1.848806,-0.243511,-2.738405,0
51,417757007,65.380363,-5.881899,24.120083,1.615748,-0.529130,-3.133259,0
52,417773674,65.186836,-5.494432,24.134457,1.553910,-0.621995,-2.686277,0
53,417790341,65.167191,-5.095811,24.085897,1.092662,-0.625701,-0.867745,0
54,417807008,65.139763,-4.700394,23.957081,0.728143,-1.488467,-0.034644,0
55,417823675,65.242897,-4.332106,23.739853,0.514988,-1.352824,0.413563,0
56,417840342,65.476135,-3.999442,23.462227,0.240209,-0.718672,1.479117,0
57,417857009,65.640778,-3.603219,23.152561,0.100060,-0.338868,2.803977,0
58,417873676,65.715889,-3.077227,22.810804,0.024882,-0.976579,2.774578,0
59,417890343,66.176476,-2.468876,22.450413,-0.131417,-1.831557,2.547315,0
60,417907010,66.862831,-1.845783,22.093716,-0.429942,-1.619001,3.783862,0
61,417923677,67.442200,-1.268303,21.783438,-0.435355,-1.402976,3.460854,0
62,417940344,67.689384,-0.793541,21.494654,-0.401338,-1.262766,3.172275,0
63,417957011,67.344269,-0.444660,21.177282,-0.074515,-1.841258,1.085926,0
64,417973678,66.668953,-0.276602,20.813368,0.294488,-2.062242,-0.412141,0
65,417990345,65.652069,-0.256732,20.407667,0.923497,-1.501707,-1.100603,0
66,418007012,64.530823,-0.333079,19.991329,1.266428,-1.075971,-2.270656,0
67,418023679,63.452820,-0.474909,19.604975,1.732888,-0.523915,-2.432464,0
68,418040346,62.447033,-0.674693,19.273634,1.915315,-0.731150,-2.752501,0
69,418057013,61.606148,-0.923714,18.998009,2.164368,-0.832782,-2.164030,0
70,418073680,60.681862,-1.185551,18.756153,2.433213,-0.001350,-1.758268,0
71,418090347,59.758255,-1.370523,18.651011,2.877650,1.763304,-1.532315,0
72,418107014,58.597977,-1.363735,18.798082,2.837734,2.531966,-0.190563,0
73,418123681,57.151146,-1.178717,19.229931,2.567077,1.851890,0.011381,0
74,418140348,55.863262,-0.886552,19.936913,2.223680,1.293954,0.582043,0
75,418157015,54.859432,-0.525347,20.885029,2.096293,2.111193,1.590726,0
76,418173682,53.765072,-0.052017,22.084044,2.140121,2.927121,2.037219,0
77,418190349,52.425171,0.476777,23.517212,1.503698,2.772899,2.392258,0
78,418207016,50.790298,0.974967,25.127163,1.405830,2.295311,1.654044,0
