sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1,1350530395,-0.23166442,-0.29739517,0.87666225,0,105.81288869330997,26.587209539104535,-41.58567669408954
2,1350547062,-0.24599428,-0.37416872,0.4243307,0,105.46399617355259,26.82796820457205,-41.4967009836638
3,1350563729,-0.8924356,-1.8024751,2.6213894,0,105.22777122340287,27.050040826844402,-41.29700272139033
4,1350580396,-1.4400473,-2.7173104,4.739296,0,104.19511008245166,27.116101561408964,-41.2360564139584
5,1350597063,-1.4244806,-2.3885005,4.560439,0,101.91068225301223,27.11476076549777,-41.595441406672556
6,1350613730,-1.4355897,-1.4582106,4.2037106,0,98.65285443933664,26.945947303069566,-42.2243883630408
7,1350630397,-0.431824,-2.017437,6.1308413,0,94.42244248113052,26.61983584502074,-43.25268703833466
8,1350647064,-2.0843499,-3.0414176,8.257748,0,88.65732729161968,25.866169896116432,-44.71995264120633
9,1350663731,-0.3633877,-0.813403,7.722748,0,81.4626708659963,24.63666071485678,-46.73445256996895
10,1350680398,-0.9993205,1.1493032,1.465827,0,74.30324315902233,23.042316255650608,-48.58996264290086
11,1350697065,-3.9317436,0.14710863,-0.42810345,0,69.4068054576992,21.296323262914868,-50.34217693529329
12,1350713732,-3.706967,-1.5185506,5.1013365,0,66.99340547200978,19.16573286784224,-52.18601425726207
