sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:28:34.083 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1,1461768958,-0.856462,-0.46903494,2.3678265,0,-67.1635123386975,-30.293940036114822,168.36780909709157
2,1461785625,-0.606028,0.24016975,2.9091406,0,-68.37923811050126,-30.59373068076059,169.22282664305015
3,1461802292,-0.2895729,0.5412639,3.2145844,0,-70.06815474354335,-30.70535139846152,170.1300686659843
4,1461818959,-0.32562363,0.03917601,2.8030987,0,-71.85072963321953,-30.58857839269434,171.15943946683544
5,1461835626,-0.7948218,-1.1722995,1.7603493,0,-73.41425815565556,-30.424569084878005,171.91172735007927
6,1461852293,-0.3988783,-1.6276265,1.1481962,0,-74.49818097155834,-30.312298611107796,172.30897118700295
7,1461868960,-0.0862332,-1.6776677,0.20818233,0,-75.19217644456951,-30.081317327675542,172.47998729906973
8,1461885627,0.38351962,-1.20003,-0.24181175,0,-75.53919151522372,-29.727803350205466,172.5265639656043
9,1461902294,-1.0240866,-4.02712,1.6223459,0,-75.86420339423809,-29.137285830124398,172.269437366962
10,1461918961,-0.49564734,-1.5087535,0.21643353,0,-74.9478691127392,-28.77199152246519,171.7358465895764
11,1461935628,0.8713849,-2.5567937,-1.2660637,0,-73.85929723947903,-28.28052133173999,171.0716059182795
12,1461952295,0.26042378,-0.9330095,-1.9629512,0,-73.12879667020523,-27.67066495375535,170.36081560856633
