sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:50:30.673 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2778327570, 0.2757416, -0.65852726, 0.6361182, -0.29268402, 0.0320208, 0.025309937, 0.40307236, 0
2, 2778344237, 0.27531847, -0.65810525, 0.6364498, -0.29331005, 0.0121312775, 0.10099757, 0.30886364, 0
3, 2778360904, 0.275145, -0.65746665, 0.6371113, -0.29346877, 0.0988647, 0.13449088, 0.33522606, 0
4, 2778377571, 0.27544135, -0.65719813, 0.6372409, -0.2935112, 0.08642821, 0.1228701, 0.25128937, 0
5, 2778394238, 0.2755987, -0.6568492, 0.63749915, -0.29358366, 0.005479979, 0.12422526, 0.29298973, 0
6, 2778410905, 0.2754256, -0.65672404, 0.63778275, -0.29341012, 0.008467341, 0.072442, 0.26625347, 0
7, 2778427572, 0.27496862, -0.65674263, 0.6381044, -0.29309726, 0.059657507, 0.08848956, 0.26285648, 0
8, 2778444239, 0.27457985, -0.65693134, 0.63825464, -0.29271153, 0.08128294, 0.031959448, 0.22934628, 0
9, 2778460906, 0.2742227, -0.6572254, 0.63828856, -0.29231218, 0.0753584, -0.03659734, 0.21294975, 0
10, 2778477573, 0.27389568, -0.65745515, 0.6383347, -0.2920014, 0.05149124, -0.10527013, 0.22415257, 0
11, 2778494240, 0.2735291, -0.6577701, 0.63831884, -0.29167026, -0.0031448272, -0.18058796, 0.20748806, 0
12, 2778510907, 0.27305907, -0.65795517, 0.6384361, -0.29143628, 0.015318461, -0.2546085, 0.2645378, 0
13, 2778527574, 0.27272767, -0.65816903, 0.6383915, -0.2913614, 0.013061762, -0.31755838, 0.32474136, 0
14, 2778544241, 0.27255565, -0.6583862, 0.6382076, -0.29143438, -0.012676202, -0.3667993, 0.29023075, 0
15, 2778560908, 0.27234185, -0.6585733, 0.63803613, -0.29158694, -0.078469366, -0.42951536, 0.27676296, 0
16, 2778577575, 0.2721438, -0.6587356, 0.6378591, -0.29179218, -0.054127797, -0.4225005, 0.27562618, 0
17, 2778594242, 0.2718935, -0.6588981, 0.6376902, -0.29202786, -0.1400236, -0.44025862, 0.31158257, 0
18, 2778610909, 0.27165416, -0.6589932, 0.6375405, -0.29236266, -0.0881762, -0.45948395, 0.4129305, 0
19, 2778627576, 0.2714281, -0.65899324, 0.6374141, -0.292848, -0.06848783, -0.4660452, 0.45312023, 0
20, 2778644243, 0.2711457, -0.6590494, 0.6372364, -0.29336953, -0.013748617, -0.47577852, 0.5022545, 0
21, 2778660910, 0.27077237, -0.65903234, 0.63709205, -0.29406503, 0.057803355, -0.4814175, 0.5122528, 0
22, 2778677577, 0.2703588, -0.65902424, 0.63690853, -0.29486054, 0.21748973, -0.5366574, 0.5851011, 0
23, 2778694244, 0.27001435, -0.65896225, 0.6365809, -0.29602006, 0.4807055, -0.6493614, 0.5830393, 0
24, 2778710911, 0.26978296, -0.65877473, 0.63615495, -0.29755977, 0.6641028, -0.7317011, 0.60134125, 0
25, 2778727578, 0.26968616, -0.65864795, 0.6354734, -0.29937914, 0.687778, -0.82471746, 0.5661135, 0
26, 2778744245, 0.26974088, -0.65814537, 0.6348163, -0.30181938, 0.98319405, -0.9783227, 0.74475193, 0
27, 2778760912, 0.26990613, -0.65771216, 0.6338988, -0.30453163, 1.2305851, -1.1098031, 0.67709637, 0
28, 2778777579, 0.2704892, -0.6577249, 0.63215315, -0.3076001, 1.8743877, -1.416443, 1.1935472, 0
29, 2778794246, 0.2714408, -0.6574751, 0.62994504, -0.31179717, 2.4177911, -1.559311, 1.4482698, 0
30, 2778810913, 0.27276915, -0.6574841, 0.6269306, -0.31665695, 2.5364919, -1.6090729, 1.4908075, 0
31, 2778827580, 0.27501073, -0.6581772, 0.62248445, -0.32200438, 2.3108323, -1.4221106, 1.7278252, 0
32, 2778844247, 0.2779929, -0.65902984, 0.61718976, -0.32783866, 1.7814313, -1.1293826, 1.6516752, 0
33, 2778860914, 0.28134406, -0.6602323, 0.6111526, -0.3338163, 1.3126786, -0.7589445, 1.8322334, 0
34, 2778877581, 0.28461468, -0.6619614, 0.6045558, -0.33958155, 0.91094685, -0.483575, 1.6035099, 0
35, 2778894248, 0.28722772, -0.664708, 0.5974524, -0.34455186, 0.5700573, -0.2921131, 1.3357801, 0
36, 2778910915, 0.28916222, -0.66827875, 0.59001213, -0.34882116, 0.3183248, 0.030861104, 1.2289228, 0
37, 2778927582, 0.29059798, -0.6723217, 0.58236545, -0.35268804, -0.20547614, 0.2635517, 1.3683643, 0
38, 2778944249, 0.29168612, -0.6767222, 0.5743879, -0.35643616, -0.71329904, 0.61550874, 1.1809044, 0
39, 2778960916, 0.29230016, -0.68130857, 0.5662825, -0.36014646, -1.1745358, 0.77369344, 0.9256954, 0
40, 2778977583, 0.29234627, -0.6859189, 0.55831254, -0.3637831, -1.43858, 0.85608816, 0.43991756, 0
41, 2778994250, 0.29188085, -0.6904732, 0.5506232, -0.36724445, -1.7450957, 0.88471645, -0.024599075, 0
42, 2779010917, 0.29096478, -0.6947646, 0.543455, -0.3705406, -2.0368161, 0.79268533, -0.15271759, 0
43, 2779027584, 0.289385, -0.6988781, 0.53698367, -0.37346488, -2.172924, 0.8333014, -0.4983673, 0
44, 2779044251, 0.28709227, -0.702763, 0.5313031, -0.3760597, -2.2358863, 0.78660154, -0.6155119, 0
45, 2779060918, 0.2844751, -0.70622325, 0.52631575, -0.37857148, -2.090138, 0.66359586, -0.91055584, 0
46, 2779077585, 0.28180104, -0.70914954, 0.5220474, -0.38100347, -2.013448, 0.44527155, -1.2288456, 0
47, 2779094252, 0.2794958, -0.71146065, 0.5183469, -0.38343748, -1.8691176, 0.3409168, -1.1375246, 0
48, 2779110919, 0.27774692, -0.71311456, 0.5151465, -0.38594082, -1.6301996, 0.06642794, -1.000597, 0
49, 2779127586, 0.27630034, -0.71431726, 0.5124404, -0.38835016, -1.2692459, -0.1309187, -0.88012886, 0
50, 2779144253, 0.27496034, -0.7154622, 0.51009226, -0.3902796, -0.8319066, -0.28678054, -0.763011, 0
51, 2779160920, 0.27393952, -0.7166417, 0.5078099, -0.3918071, -0.46703938, -0.37973645, -0.65719795, 0
52, 2779177587, 0.2729552, -0.71815693, 0.50555176, -0.3926392, 0.10445129, -0.46745378, -0.5996237, 0
53, 2779194254, 0.2719308, -0.7201742, 0.5031752, -0.39270794, 0.61487955, -0.54195285, -0.3930645, 0
54, 2779210921, 0.27110124, -0.72258884, 0.5004427, -0.39233714, 1.2030886, -0.51221615, -0.14054394, 0
55, 2779227588, 0.27058044, -0.72531736, 0.49736944, -0.39156905, 1.3688154, -0.5664565, -0.21646214, 0
56, 2779244255, 0.26998383, -0.72839165, 0.49432257, -0.39012983, 1.4844168, -0.58178276, -0.29833984, 0
57, 2779260922, 0.26899144, -0.7318801, 0.49151492, -0.38782746, 1.5271802, -0.59800804, -0.1523819, 0
58, 2779277589, 0.2675408, -0.73572946, 0.48891556, -0.3848216, 1.6972005, -0.51620024, 0.2246542, 0
59, 2779294256, 0.2659585, -0.7397888, 0.4862816, -0.38145873, 1.8153892, -0.349722, 0.49999142, 0
60, 2779310923, 0.26454592, -0.7439858, 0.48333955, -0.37800172, 1.8730574, -0.3533628, 0.6711836, 0
61, 2779327590, 0.26385355, -0.7482761, 0.4797343, -0.37459466, 1.7078737, -0.48088878, 0.69438934, 0
62, 2779344257, 0.2638098, -0.75249106, 0.47570068, -0.37131178, 1.2972951, -0.7824051, 0.8477707, 0
63, 2779360924, 0.26472926, -0.75634056, 0.4713, -0.36843693, 0.62791336, -1.0158209, 1.0739098, 0
64, 2779377591, 0.26632208, -0.75976574, 0.46685308, -0.36589462, -0.051477324, -1.1474878, 0.8190985, 0
65, 2779394258, 0.26823443, -0.7628641, 0.4626005, -0.36344424, -0.52092254, -1.2429844, 0.50822926, 0
66, 2779410925, 0.26952112, -0.7659398, 0.45883647, -0.36078495, -0.73630077, -1.2898545, 0.26211262, 0
67, 2779427592, 0.27041963, -0.76879436, 0.4555152, -0.35824078, -1.2947724, -1.2548348, 0.14819145, 0
68, 2779444259, 0.2712759, -0.7710007, 0.45281348, -0.3562716, -2.02933, -1.1254778, 0.020335197, 0
69, 2779460926, 0.27182543, -0.7723758, 0.45110697, -0.3550371, -2.60247, -1.0702842, -0.5030823, 0
70, 2779477593, 0.2715334, -0.7729629, 0.45069906, -0.3545003, -2.8738797, -0.75888795, -0.7022791, 0
71, 2779494260, 0.27019653, -0.77279544, 0.4517168, -0.35459176, -3.18452, -0.39966178, -0.52718353, 0
72, 2779510927, 0.26841393, -0.77149594, 0.45405698, -0.3557841, -3.9668918, -0.14143386, -0.36422062, 0
73, 2779527594, 0.26642698, -0.7686438, 0.4580973, -0.35826328, -4.662241, 0.07801108, -0.41917992, 0
74, 2779544261, 0.26379335, -0.76420337, 0.46412036, -0.36194056, -5.375396, 0.28630078, -0.8711262, 0
75, 2779560928, 0.26049483, -0.75786054, 0.4724258, -0.3668871, -5.4264846, 0.7009311, -0.80972576, 0
76, 2779577595, 0.2571316, -0.74915, 0.48294255, -0.37339884, -5.2303495, 0.8015261, -1.2485676, 0
77, 2779594262, 0.25237894, -0.73840886, 0.4962039, -0.3805803, -5.293054, 1.0770403, -1.4196882, 0
78, 2779610929, 0.24636377, -0.7253413, 0.5123507, -0.38818073, -5.2917857, 1.4418304, -1.6356726, 0
79, 2779627596, 0.23917396, -0.70964915, 0.5314018, -0.39599067, -4.758223, 1.9692832, -1.6842489, 0
80, 2779644263, 0.23149794, -0.69151914, 0.5522759, -0.40398476, -3.40078, 2.4915607, -1.4787731, 0
81, 2779660930, 0.22463346, -0.671312, 0.5734603, -0.41234177, -2.559885, 2.7174132, -1.4937515, 0
82, 2779677597, 0.2184268, -0.64893025, 0.59491104, -0.4210256, -2.8231525, 2.5918784, -1.573062, 0
83, 2779694264, 0.21205512, -0.624522, 0.6168031, -0.42960593, -1.925335, 3.2609947, -1.1079788, 0
