sep=,
DeviceTag:,RW2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-19_19:17:12_841 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,1198061200,98.743248,16.698099,-117.803650,0.561192,-0.147055,-0.207531,0
2,1198077867,100.051071,16.706291,-117.800591,0.657901,-0.372849,-0.567504,0
3,1198094534,101.538567,16.718187,-117.851921,0.795254,-0.306319,-0.184307,0
4,1198111201,103.337288,16.758005,-117.852745,1.203423,-0.590355,-0.581020,0
5,1198127868,105.538254,16.811558,-117.855888,1.605019,-0.490147,-0.602798,0
6,1198144535,108.418106,16.915237,-118.166740,1.028409,-0.669407,-0.473317,0
7,1198161202,111.109421,16.987114,-118.213333,0.525028,-0.559312,0.350617,0
8,1198177869,113.840332,17.083431,-118.248322,1.037701,-0.661570,0.037821,0
9,1198194536,116.840904,17.174982,-118.222588,1.744062,-0.938939,-0.098390,0
10,1198211203,120.307785,17.319593,-118.316788,0.908431,-0.843891,0.701608,0
11,1198227870,123.647911,17.389631,-118.393013,1.697186,-1.350258,0.022770,0
12,1198244537,127.518105,17.522259,-118.617081,0.587682,-0.933019,1.078724,0
13,1198261204,130.639771,17.665304,-118.819283,-0.830426,-0.666565,1.171178,0
14,1198277871,133.574051,17.817471,-119.043221,0.385080,-0.700917,1.250564,0
15,1198294538,136.340546,18.083345,-119.306259,-2.434321,-0.195646,1.053691,0
16,1198311205,137.682129,18.265484,-119.524773,-2.795973,0.531147,1.963717,0
17,1198327872,138.260681,18.606771,-119.909912,-3.221351,0.359609,0.538690,0
18,1198344539,137.973541,18.931795,-120.330917,-4.277896,0.878386,-0.356252,0
19,1198361206,136.970749,19.145737,-120.730347,-5.710073,1.707942,-0.032598,0
20,1198377873,134.633118,19.375843,-121.135445,-6.040626,1.512380,0.372856,0
21,1198394540,131.759644,19.508888,-121.337585,-4.562984,-0.392554,1.056065,0
22,1198411207,128.768753,19.717726,-121.357491,-3.399714,-1.612276,2.041830,0
23,1198427874,125.970367,20.054468,-121.153473,-1.598295,-2.779700,2.382071,0
24,1198444541,123.456383,20.508665,-120.661697,-1.817844,-3.349931,3.265816,0
25,1198461208,121.031296,21.153414,-120.136612,0.231529,-4.426192,3.685569,0
26,1198477875,118.810852,21.789021,-119.596748,-0.115997,-5.585629,3.003692,0
27,1198494542,116.345131,21.977512,-118.617081,1.928257,-5.999517,2.340539,0
28,1198511209,113.768196,21.838055,-117.792404,1.168735,-4.766841,3.089331,0
29,1198527876,111.024498,21.371101,-116.546417,4.401816,-4.809610,-0.838033,0
30,1198544543,109.535156,20.884604,-115.054581,6.487281,-2.170409,-1.755037,0
31,1198561210,108.735367,20.596306,-113.832832,7.273284,-4.391324,-4.365493,0
32,1198577877,108.248779,19.942570,-112.623001,10.229932,1.129441,-2.835043,0
33,1198594544,107.943024,19.443630,-112.758362,2.029746,2.854860,-3.888443,0
34,1198611211,107.870499,18.448109,-111.811386,2.048887,2.122138,-3.509347,0
35,1198627878,107.862869,17.029936,-111.370583,10.903945,1.534504,-2.808177,0
36,1198644545,109.677757,16.558329,-112.476372,2.422609,2.082742,3.316019,0
37,1198661212,108.886024,16.166351,-113.581726,1.008719,-2.328910,-3.661120,0
38,1198677879,110.809967,15.401713,-114.880775,6.924790,1.230913,-4.641104,0
39,1198694546,114.126701,15.155092,-116.556213,-5.640437,1.467649,-2.715346,0
40,1198711213,116.874649,15.193988,-117.904327,-1.514172,3.619607,-2.093600,0
41,1198727880,120.143753,16.161003,-119.894394,-2.871949,5.595764,-1.283748,0
42,1198744547,123.975998,17.456356,-121.802887,-2.571786,5.198654,-3.629047,0
43,1198761214,128.028061,18.651733,-123.263115,-4.840513,6.910046,-1.066911,0
44,1198777881,131.040482,19.557573,-124.072289,-0.931819,5.241296,-1.199918,0
