sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-23_10:22:19_574 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,100378283,108.840012,16.393539,147.544495,-0.555359,0.413787,2.327440,0
2,100394950,108.890869,15.693840,146.454712,0.076722,0.122928,1.721881,0
3,100411617,108.890610,15.433900,145.206207,0.112477,0.027755,1.494380,0
4,100428284,108.859268,15.323993,143.978210,-0.340449,-0.426056,1.271852,0
5,100444951,109.142227,15.183960,142.932037,-0.946953,-0.660042,1.743727,0
6,100461618,109.595474,14.905401,142.083344,-1.063808,-0.635478,2.221660,0
7,100478285,109.828819,14.534088,141.403229,-0.715415,-0.039720,2.112844,0
8,100494952,109.680275,14.088996,140.867203,-0.430877,-0.503897,0.884181,0
9,100511619,109.389801,13.672910,140.535400,-0.441314,-0.437685,0.435028,0
10,100528286,109.029297,13.242298,140.446030,0.261767,-0.684838,-0.351893,0
11,100544953,108.746681,12.956027,140.366455,2.122094,0.440256,0.247971,0
12,100561620,108.003510,12.849236,140.204178,1.540673,0.605662,0.196695,0
13,100578287,106.878883,12.815310,140.112732,1.153296,0.152933,-1.965050,0
14,100594954,105.922501,12.833046,140.018280,1.964792,-0.506706,-3.536232,0
15,100611621,105.530380,12.931085,139.826447,2.207860,0.003097,-2.928387,0
16,100628288,105.469337,13.119421,139.555389,2.120602,1.118913,-1.746931,0
17,100644955,105.669746,13.324103,139.145584,1.891875,0.812985,-1.120349,0
18,100661622,106.064568,13.575261,138.660233,1.529462,0.968579,-0.353865,0
19,100678289,106.494156,13.849443,138.106689,1.469273,0.789248,-0.665687,0
20,100694956,107.145905,14.142180,137.490952,1.454541,0.561281,-0.639437,0
21,100711623,107.776688,14.449944,136.829269,1.230387,0.860364,1.140962,0
22,100728290,107.964470,14.715783,136.217697,1.332400,0.718025,2.040212,0
23,100744957,107.537041,14.928205,135.661102,1.546391,-0.098360,1.799654,0
24,100761624,106.647659,15.056840,135.253983,1.262329,-0.600706,2.475546,0
35,100944961,94.129601,13.537847,136.195572,0.928238,-1.171906,-1.238148,0
36,100961628,93.878822,13.510148,136.390289,0.885985,-1.376923,-1.633999,0
37,100978295,93.914459,13.522887,136.577591,0.742821,-1.489365,-1.339715,0
38,100994962,94.046066,13.577499,136.760956,0.705476,-1.499324,-1.017511,0
39,101011629,94.309166,13.667806,136.908035,1.087277,-1.579931,-1.506155,0
40,101028296,94.768288,13.767452,137.041412,1.195186,-1.387358,-1.331060,0
41,101044963,95.329086,13.872317,137.163666,1.354201,-1.229094,-0.690613,0
42,101061630,95.884529,13.974434,137.241943,1.059305,-1.342802,-0.484067,0
43,101078297,96.488106,14.090597,137.334793,0.358182,-1.405113,-0.202170,0
55,101278301,99.446220,15.315057,141.905685,0.288726,-0.864557,0.467919,0
56,101294968,99.182167,15.382437,142.450943,0.531192,-0.733495,0.234591,0
57,101311635,99.036446,15.416632,142.973618,0.609659,-0.854485,-0.012804,0
58,101328302,99.021561,15.434128,143.473953,0.655471,-0.730144,0.104580,0
59,101344969,98.959778,15.435072,143.962311,0.631821,-0.582359,0.217241,0
60,101361636,98.914398,15.408323,144.449341,0.776791,-0.663821,-0.145362,0
61,101378303,99.028671,15.358680,144.923248,0.679359,-0.935204,-0.417540,0
62,101394970,99.270996,15.287835,145.419235,0.426536,-1.016795,0.020216,0
63,101411637,99.582344,15.199611,145.954712,0.048761,-1.354869,0.275048,0
64,101428304,99.929428,15.093518,146.557022,0.040933,-1.220114,0.131886,0
65,101444971,100.286797,14.954563,147.275742,0.038731,-1.229569,0.317330,0
66,101461638,100.752319,14.770412,148.042892,-0.126694,-1.409793,-0.138418,0
67,101478305,101.457588,14.572988,148.877304,0.060446,-1.229917,-0.668987,0
68,101494972,102.435295,14.348691,149.756592,0.150207,-1.139176,-0.653765,0
69,101511639,103.612839,14.099195,150.683594,-0.044250,-1.150841,-0.413794,0
70,101528306,104.855278,13.834704,151.643387,0.044103,-1.029030,-0.338031,0
71,101544973,106.034302,13.566446,152.642517,-0.053503,-1.043340,-0.123157,0
72,101561640,106.979126,13.304338,153.682648,-0.179725,-0.942589,0.265051,0
73,101578307,107.623459,13.044277,154.743729,-0.133534,-0.967407,0.253587,0
74,101594974,108.004761,12.801888,155.821609,0.051782,-0.834438,0.311708,0
75,101611641,108.206306,12.560613,156.915176,0.272191,-0.827606,0.153601,0
76,101628308,108.398285,12.326562,158.008408,0.522678,-0.337568,-0.214761,0
77,101644975,108.708870,12.116300,159.068924,0.918536,-0.679876,-0.549601,0
78,101661642,108.974113,11.947056,160.107880,0.526001,-0.495876,-0.282380,0
79,101678309,109.329247,11.804827,161.114151,0.975431,-0.127383,-0.227942,0
80,101694976,109.755875,11.700041,162.049133,1.159841,0.064595,-0.215930,0
81,101711643,110.161797,11.607979,162.904419,1.264088,0.513573,0.189534,0
82,101728310,110.495773,11.531173,163.674561,1.311250,0.379506,-0.071373,0
83,101744977,110.747910,11.526275,164.362488,1.447475,0.747758,-0.259543,0
84,101761644,110.763374,11.557333,164.977600,1.154356,0.726716,0.545406,0
85,101778311,110.609528,11.619127,165.585510,1.392430,0.695877,0.108149,0
86,101794978,110.209984,11.707047,166.086609,1.550535,1.447121,0.883667,0
87,101811645,109.725800,11.784933,166.538452,1.472196,0.617531,-0.096529,0
88,101828312,109.386436,11.877481,166.934006,1.298858,0.562125,0.150754,0
89,101844979,109.136749,11.968105,167.293533,0.938977,0.001636,-0.117018,0
90,101861646,109.046440,12.072832,167.668030,0.558276,-0.456808,-0.195516,0
91,101878313,108.912537,12.183478,168.081573,0.250486,-0.545000,0.526115,0
92,101894980,108.471962,12.336357,168.518066,0.394488,-0.348335,0.312045,0
93,101911647,107.866722,12.508245,168.932388,0.973066,0.178869,-0.222219,0
94,101928314,107.230743,12.686557,169.274872,0.787083,0.017162,-0.238814,0
95,101944981,106.608864,12.852458,169.580872,0.615420,-0.314113,-0.539025,0
96,101961648,106.164948,13.004954,169.858841,0.713631,-0.513515,-0.616512,0
97,101978315,105.809204,13.164029,170.096542,0.549573,-0.416467,-0.390282,0
98,101994982,105.469849,13.332795,170.294601,0.412979,-0.655377,-0.544365,0
