sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-23_13:22:09_529 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2300293746,144.217758,-7.314434,129.182419,-0.033576,-0.317182,-0.377415,0
2,2300310413,144.813507,-6.895485,129.147797,0.511595,-0.335250,-1.147262,0
3,2300327080,145.093155,-6.146375,129.407654,1.296896,-0.101946,-1.669672,0
4,2300343747,144.782455,-5.279292,129.950150,2.441317,0.555991,-1.915889,0
5,2300360414,143.680328,-4.416914,130.708023,2.974773,1.043663,-1.900685,0
6,2300377081,142.118439,-3.610145,131.548859,3.647367,1.537956,-1.015255,0
7,2300393748,139.835144,-2.924531,132.395248,5.066030,2.719368,-0.760614,0
8,2300410415,137.048401,-2.303592,133.277206,3.468950,2.092541,-1.204709,0
9,2300427082,134.212555,-1.945431,134.263367,2.065422,0.524774,1.571118,0
10,2300443749,131.411652,-1.699655,135.115631,1.443553,-0.307848,-1.279474,0
11,2300460416,130.434128,-1.196056,135.569092,2.267506,0.148279,-3.824643,0
12,2300477083,130.069519,-0.611795,135.625900,3.118622,2.512793,-1.685279,0
13,2300493750,129.598953,-0.167021,135.415527,2.379169,2.604288,0.029953,0
14,2300510417,128.780884,0.128059,135.034012,1.289064,2.250728,0.802278,0
15,2300527084,127.835464,0.312811,134.547226,0.505459,0.636270,-0.404094,0
16,2300543751,127.367249,0.512590,133.919998,-0.008627,-0.467573,-0.843107,0
17,2300560418,127.077568,0.681360,133.380356,-0.255009,-0.196804,0.695625,0
18,2300577085,126.621925,0.769702,132.794724,-1.336931,-0.868737,0.927357,0
19,2300593752,126.186707,0.809068,132.368973,-1.999101,-1.133978,1.285785,0
20,2300610419,125.848343,0.841271,132.359650,-2.124547,-0.494619,1.235267,0
21,2300627086,125.574112,0.854381,132.115051,-1.690921,0.260410,0.632343,0
22,2300643753,125.303719,0.863777,131.886093,-1.489950,0.630038,0.107014,0
23,2300660420,125.098167,0.878856,131.679993,-1.524555,0.409376,-0.386445,0
24,2300677087,125.120979,0.926820,131.374847,-1.470802,0.061187,-0.952845,0
25,2300693754,125.395393,1.022457,131.067978,-0.912454,0.142467,-1.272037,0
26,2300710421,125.760475,1.151063,130.741623,-0.459411,0.431161,-1.229391,0
27,2300727088,126.091743,1.289545,130.433716,-0.307815,0.667605,-0.498704,0
28,2300743755,126.327629,1.409755,130.174698,-0.282561,0.632516,0.000333,0
29,2300760422,126.482674,1.494719,129.955261,-0.122544,0.567187,0.224450,0
30,2300777089,126.542236,1.529531,129.742676,0.206391,0.594960,-0.074098,0
31,2300793756,126.520515,1.513703,129.509796,0.585745,0.813577,-0.180347,0
32,2300810423,126.435257,1.461406,129.283585,0.525408,0.573667,-0.540067,0
33,2300827090,126.433784,1.375295,129.029205,0.258259,0.100525,-0.664791,0
34,2300843757,126.596489,1.263003,128.731613,0.024849,0.117754,-0.159035,0
35,2300860424,126.788788,1.112032,128.417236,0.034609,0.535902,0.167459,0
36,2300877091,126.877487,0.916744,128.112366,0.009974,0.663063,0.318092,0
37,2300893758,126.852928,0.676785,127.834587,-0.157090,0.413965,0.304098,0
38,2300910425,126.842926,0.433216,127.577255,-0.376478,0.142114,0.153605,0
39,2300927092,126.852036,0.198670,127.339195,-0.382563,0.140243,-0.222610,0
40,2300943759,126.869881,-0.016276,127.124260,-0.362943,0.105867,-0.351251,0
41,2300960426,126.863197,-0.210345,126.931076,-0.475369,0.061793,-0.173455,0
42,2300977093,126.824745,-0.377714,126.747330,-0.921431,-0.122709,-0.153034,0
43,2300993760,126.746521,-0.522424,126.586586,-1.035394,0.198148,0.182152,0
44,2301010427,126.615440,-0.663356,126.450111,-0.961323,0.176308,0.183079,0
45,2301027094,126.515312,-0.794394,126.310593,-1.041991,0.005424,-0.107898,0
46,2301043761,126.516319,-0.900685,126.151779,-1.081059,-0.127383,-0.376065,0
47,2301060428,126.653198,-0.961353,125.960846,-1.171505,-0.267293,-0.480268,0
48,2301077095,126.913086,-0.973407,125.747856,-1.110947,-0.378349,-0.567326,0
49,2301093762,127.265289,-0.922860,125.501450,-0.991823,-0.453505,-0.734010,0
50,2301110429,127.663658,-0.801342,125.227753,-0.884078,-0.526990,-0.814504,0
51,2301127096,128.084793,-0.604375,124.944641,-0.740932,-0.724644,-0.979436,0
52,2301143763,128.529892,-0.334044,124.647346,-0.591083,-0.728599,-1.152036,0
53,2301160430,129.003448,-0.001267,124.387115,-0.284248,-0.554952,-1.372751,0
54,2301177097,129.390488,0.381093,124.106667,0.106905,-0.322669,-1.574753,0
55,2301193764,129.678345,0.822262,123.868607,0.183436,-0.287950,-1.575516,0
56,2301210431,129.911041,1.331433,123.646919,0.014267,-0.583582,-1.668812,0
57,2301227098,130.156494,1.934086,123.437622,-0.050490,-0.651735,-1.567217,0
58,2301243765,130.450760,2.629279,123.257721,-0.362281,-0.980542,-1.252824,0
59,2301260432,130.849228,3.408708,123.115257,-0.389910,-1.164881,-1.117157,0
60,2301277099,131.289597,4.270107,122.999588,-0.286611,-0.982691,-1.057556,0
61,2301293766,131.695755,5.191740,122.926605,-0.068195,-0.744812,-0.895311,0
62,2301310433,132.051788,6.145360,122.863983,0.485067,-0.325509,-0.704078,0
63,2301327100,132.284790,7.114557,122.756203,1.132756,0.248407,-0.901895,0
64,2301343767,132.222626,8.089551,122.606979,1.504446,0.680475,-1.325194,0
65,2301360434,131.843658,9.115465,122.405556,1.427511,0.518372,-1.941621,0
66,2301377101,131.182602,10.225796,122.154709,1.857893,0.965405,-2.089442,0
67,2301393768,130.299423,11.460571,121.818909,1.748581,0.669975,-2.511870,0
68,2301410435,129.501678,12.890175,121.357780,1.085305,0.142799,-1.788804,0
69,2301427102,129.026917,14.494582,120.769402,0.432418,-0.204003,-0.595472,0
70,2301443769,128.788620,16.192961,120.070740,0.829023,0.653978,0.299253,0
71,2301460436,128.391724,17.902218,119.286194,1.488028,1.092728,0.118551,0
72,2301477103,127.501190,19.571695,118.486488,2.092296,1.737797,0.075886,0
73,2301493770,125.967033,21.204332,117.672997,2.393916,1.405906,0.011919,0
74,2301510437,124.121727,22.891895,116.749886,1.850886,0.403614,-0.168503,0
75,2301527104,122.375542,24.723274,115.651718,0.785176,-0.551334,-0.011429,0
76,2301543771,120.854424,26.706772,114.390373,0.034604,-0.849294,0.589283,0
77,2301560438,119.427010,28.788736,112.974663,-0.162061,-0.879269,0.866135,0
78,2301577105,117.975510,30.911074,111.407547,0.157801,-0.689493,1.089417,0
79,2301593772,116.399048,33.031715,109.683594,0.299227,-0.716087,1.229931,0
80,2301610439,114.739311,35.126251,107.764931,0.105401,-1.102582,1.371876,0
81,2301627106,112.980110,37.184269,105.648048,-0.305505,-0.947917,1.708993,0
82,2301643773,111.077301,39.177521,103.356491,-0.835947,-0.663305,2.077447,0
83,2301660440,108.994278,41.073383,100.924446,-1.405683,-0.692971,1.920121,0
84,2301677107,106.861519,42.828812,98.400429,-1.940865,-0.811959,1.623332,0
85,2301693774,104.791916,44.422081,95.820824,-2.153694,-0.582197,1.604244,0
86,2301710441,102.848022,45.817677,93.250999,-2.254120,-0.473380,1.565784,0
87,2301727108,101.073181,46.997478,90.754982,-2.141124,-0.141840,1.386366,0
88,2301743775,99.533249,47.941711,88.401855,-1.913750,-0.088020,1.225880,0
89,2301760442,98.279259,48.657299,86.193344,-1.865616,-0.367679,0.879600,0
90,2301777109,97.327606,49.193096,84.175751,-1.723858,-0.320577,0.622462,0
91,2301793776,96.619316,49.599571,82.388840,-1.435468,-0.217999,0.645412,0
92,2301810443,96.053246,49.931225,80.874542,-1.146601,0.150699,0.652143,0
93,2301827110,95.554565,50.217518,79.638092,-0.966227,0.124830,0.513373,0
94,2301843777,95.140404,50.466499,78.620117,-1.064868,-0.201196,0.217398,0
95,2301860444,94.773506,50.699364,77.747551,-1.171253,0.128408,-0.041909,0
