sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-23_14:18:05_577 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,868625510,133.853897,54.565655,-93.912476,-0.493143,0.305644,0.640454,0
2,868642177,131.704315,54.084026,-96.238625,-0.080302,0.415057,0.935110,0
3,868658844,130.159393,53.538227,-98.021515,0.370705,0.281202,0.963460,0
4,868675511,129.198853,52.675297,-99.283310,1.352331,0.272465,0.887417,0
5,868692178,129.205704,51.627567,-99.764778,2.321153,0.616977,0.608024,0
6,868708845,130.134399,50.590645,-99.429291,2.272560,0.089418,0.828175,0
7,868725512,131.097626,49.442604,-98.889198,1.148387,-0.369332,1.237915,0
8,868742179,131.378464,48.186405,-98.260269,-0.146785,-0.798722,1.209151,0
9,868758846,130.984772,46.882698,-97.471581,-0.857856,-0.245606,0.928995,0
10,868775513,130.649323,45.752655,-96.465370,-0.228965,1.031800,-0.807961,0
11,868792180,131.327301,44.955002,-95.003059,-0.345220,2.002979,-2.000574,0
12,868808847,132.744034,44.541119,-93.227234,-2.606888,2.264597,-2.482680,0
13,868825514,133.791855,44.312897,-91.529434,-3.493624,1.356081,-2.274315,0
14,868842181,134.036758,44.053284,-90.017807,-4.348265,0.324061,-1.145922,0
15,868858848,132.960770,43.684364,-88.894669,-5.310863,-0.783765,-0.037135,0
16,868875515,130.767349,43.142384,-88.081749,-4.400186,-1.375910,0.522880,0
17,868892182,127.961632,42.374653,-87.385834,-3.110984,-1.811291,0.977917,0
18,868908849,124.705063,41.377514,-86.747185,-2.374780,-2.018834,1.210158,0
19,868925516,120.986679,40.148403,-86.084778,-1.293415,-2.612877,1.571459,0
20,868942183,116.704330,38.631508,-85.274216,0.047763,-2.684873,1.898377,0
21,868958850,112.003807,36.964546,-84.162231,0.622943,-0.931401,1.207564,0
22,868975517,107.255814,35.327183,-82.916328,-1.371913,3.267623,-4.320741,0
23,868992184,103.821495,33.984230,-82.053261,-13.264739,7.008662,-6.129960,0
24,869008851,100.299690,32.738827,-82.692337,-11.982785,0.459803,-2.095567,0
25,869025518,97.915588,31.962997,-83.444542,-5.133184,2.196431,-8.040938,0
26,869042185,98.189247,31.247627,-83.765388,-4.828306,1.946372,-3.351057,0
27,869058852,99.221466,30.522661,-84.022720,-2.225460,-1.775755,5.448787,0
28,869075519,98.669304,29.541187,-84.241180,-3.181663,-3.900593,7.633963,0
29,869092186,96.790771,28.350082,-84.545647,-2.565305,-0.468396,2.066642,0
30,869108853,95.077927,27.156605,-84.912811,-1.385457,0.902230,-0.186324,0
31,869125520,93.497780,25.950670,-85.242439,-0.537035,0.691705,-0.242906,0
32,869142187,92.231964,24.747255,-85.537033,0.144359,1.465373,-1.183962,0
33,869158854,91.656914,23.588516,-85.772644,1.569258,1.280359,-1.958236,0
34,869175521,91.444321,22.482380,-85.911621,2.464238,0.025416,-1.100072,0
35,869192188,91.058365,21.436016,-85.918213,3.061911,-0.893357,-1.461132,0
36,869208855,90.697472,20.433231,-85.690109,3.757610,-0.951298,-2.522627,0
37,869225522,90.532669,19.499914,-85.160042,3.829276,-0.917325,-1.928808,0
38,869242189,90.441269,18.628544,-84.369331,3.443002,-0.218763,-1.323228,0
39,869258856,90.385414,17.886282,-83.447433,3.305837,1.156517,-1.028412,0
40,869275523,90.344269,17.302132,-82.548676,3.313342,2.755439,-0.464726,0
41,869292190,90.494980,16.904243,-81.722679,4.073523,3.963426,-0.036688,0
42,869308857,90.720879,16.629827,-80.905914,4.583312,4.457721,1.352063,0
43,869325524,90.869873,16.386263,-80.054413,4.955070,4.219271,2.150743,0
44,869342191,90.888649,16.117765,-79.070671,5.618910,3.999281,1.906096,0
45,869358858,91.008011,15.813534,-77.790115,5.700497,4.021379,1.930673,0
46,869375525,91.116333,15.455051,-76.138649,4.795771,3.709600,2.570830,0
47,869392192,91.084976,14.999690,-74.180031,3.463653,4.009805,2.216883,0
48,869408859,91.009598,14.485262,-72.079933,2.342671,4.623219,1.832285,0
49,869425526,90.916862,13.957627,-69.980263,1.946396,5.166975,0.939120,0
50,869442193,90.813744,13.387330,-67.848747,2.008971,5.368995,0.795237,0
51,869458860,90.771286,12.710531,-65.615448,1.505476,6.086109,0.150059,0
52,869475527,90.851852,11.936574,-63.282887,-0.071373,6.041775,0.582600,0
53,869492194,90.827232,11.127079,-60.965942,-2.025447,5.551731,0.355277,0
54,869508861,90.725548,10.333778,-58.732723,-3.982164,5.496755,-1.331164,0
55,869525528,90.658882,9.601579,-56.648399,-5.500191,5.300730,-2.376126,0
56,869542195,90.625031,8.961716,-54.753483,-6.888801,4.517493,-2.966081,0
57,869558862,90.697685,8.468226,-53.111828,-8.641545,3.906524,-3.702705,0
58,869575529,90.819946,8.147714,-51.852077,-10.129508,3.229982,-3.769912,0
59,869592196,90.950462,8.013715,-51.021706,-11.267123,2.758627,-3.813497,0
60,869608863,91.045868,8.050030,-50.670422,-12.502649,2.116480,-3.559521,0
61,869625530,91.064331,8.234654,-50.909561,-13.540279,1.635717,-3.201881,0
62,869642197,91.022827,8.547735,-51.846100,-15.118595,1.445700,-3.055080,0
63,869658864,90.944786,8.927222,-53.768719,-18.021015,2.623370,-3.274868,0
64,869675531,90.920433,9.286393,-56.936680,-18.683804,3.840867,-2.777225,0
65,869692198,90.962257,9.553704,-61.318237,-18.224836,5.625384,-2.134313,0
66,869708865,91.237457,9.716372,-66.919258,-14.987906,9.159946,-2.841257,0
67,869725532,92.012573,9.845358,-73.433990,-9.663949,11.354903,-0.260782,0
68,869742199,93.130112,10.006654,-80.487350,-1.347752,13.152368,-1.394598,0
69,869758866,94.460770,10.230182,-87.780090,7.666991,11.358450,2.776077,0
70,869775533,94.929642,10.450699,-94.709183,17.169909,7.227393,5.194442,0
71,869792200,94.707146,10.612128,-100.535950,21.803402,3.642183,6.513075,0
72,869808867,93.841797,10.441365,-105.078232,21.302509,0.449219,5.792362,0
73,869825534,92.444984,9.975470,-108.366379,20.151804,-2.346404,2.933177,0
74,869842201,90.740250,9.386441,-110.432358,18.253588,-3.879719,-0.384570,0
75,869858868,89.009773,8.891275,-111.506989,14.559792,-3.024649,-4.984704,0
76,869875535,87.716461,8.639225,-112.020111,9.921281,-0.993270,-7.398054,0
77,869892202,86.909348,8.637396,-112.428703,5.793016,1.763733,-8.688948,0
78,869908869,86.671738,8.865225,-113.097610,3.638461,3.907301,-8.269670,0
79,869925536,86.762268,9.262794,-114.085609,3.048297,4.823564,-7.120634,0
80,869942203,87.052734,9.784363,-115.378387,2.749641,5.876080,-5.544093,0
81,869958870,87.459175,10.367468,-117.094398,2.542133,7.479129,-4.810740,0
82,869975537,87.952965,10.983459,-119.304375,2.871238,8.514720,-4.230361,0
83,869992204,88.606689,11.653261,-122.007111,3.413352,10.158882,-5.030403,0
84,870008871,89.501045,12.414321,-125.310356,4.208451,11.373636,-4.366765,0
85,870025538,90.616997,13.273928,-129.212524,5.577746,11.654599,-3.804494,0
