sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-23_14:27:01_772 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,1404843238,32.721191,62.362839,143.626114,-0.108264,-0.072325,0.086670,0
2,1404859905,32.546421,62.460423,143.622879,-0.147490,-0.019776,0.025051,0
3,1404876572,32.585289,62.424351,143.665009,-0.341672,0.035567,0.095228,0
4,1404893239,32.735931,62.246922,143.805832,-0.456810,-0.073674,0.136852,0
5,1404909906,33.019459,62.043457,144.038727,-0.170906,-0.141500,0.030484,0
6,1404926573,33.291168,61.921452,144.181610,-0.092743,-0.029588,0.132452,0
7,1404943240,33.474255,61.821476,144.233398,-0.221884,-0.087908,0.202097,0
8,1404959907,33.643639,61.715405,144.287216,-0.162453,-0.115481,0.026215,0
9,1404976574,33.850494,61.608978,144.354004,-0.035775,-0.121558,-0.060345,0
10,1404993241,34.098766,61.507576,144.428009,-0.123640,-0.184652,-0.061393,0
11,1405009908,34.395729,61.399235,144.552795,-0.118233,-0.224628,0.010376,0
12,1405026575,34.735214,61.280930,144.710510,-0.014988,-0.208161,0.059017,0
13,1405043242,35.133617,61.166538,144.904739,0.175966,-0.156756,-0.023662,0
14,1405059909,35.545944,61.054008,145.123184,-0.005374,-0.156909,0.031543,0
15,1405076576,35.940113,60.942856,145.376160,0.044577,-0.109055,-0.046562,0
16,1405093243,36.343857,60.842651,145.670517,0.208305,-0.092548,-0.065487,0
17,1405109910,36.714367,60.762619,145.958069,0.251331,-0.123554,-0.091354,0
18,1405126577,37.055882,60.709126,146.226456,0.275715,-0.053608,-0.173384,0
19,1405143244,37.359608,60.693108,146.476547,0.216414,-0.102706,-0.169662,0
20,1405159911,37.592297,60.722404,146.699875,0.155930,0.014622,-0.059623,0
21,1405176578,37.716724,60.790482,146.882523,0.154425,0.170154,0.053190,0
22,1405193245,37.727276,60.884212,147.012558,0.116642,0.233733,0.191325,0
23,1405209912,37.617924,60.995312,147.090775,0.094568,0.275988,0.256175,0
24,1405226579,37.432194,61.111439,147.117783,0.047937,0.372914,0.297097,0
25,1405243246,37.187630,61.231220,147.107651,-0.019297,0.494892,0.325392,0
26,1405259913,36.868153,61.344334,147.040100,-0.187630,0.431789,0.367402,0
27,1405276580,36.468231,61.448036,146.939255,-0.188515,0.388879,0.435112,0
28,1405293247,36.032486,61.531208,146.804077,-0.154183,0.402691,0.438561,0
29,1405309914,35.562393,61.592407,146.647217,-0.055206,0.254497,0.337069,0
30,1405326581,35.123505,61.635204,146.484833,0.074288,0.355665,0.279084,0
31,1405343248,34.727852,61.663898,146.313354,-0.014167,0.400635,0.286018,0
32,1405359915,34.398022,61.666397,146.144455,-0.012820,0.387331,0.314061,0
33,1405376582,34.094578,61.636257,145.953598,-0.289491,0.222432,0.411365,0
34,1405393249,33.789005,61.587200,145.765060,-0.238718,0.287423,0.416718,0
35,1405409916,33.580070,61.516708,145.612335,-0.118763,0.358047,0.386769,0
36,1405426583,33.468147,61.424454,145.487228,-0.055181,0.342597,0.329099,0
37,1405443250,33.447865,61.309841,145.399994,-0.008080,0.326577,0.273339,0
38,1405459917,33.500641,61.181755,145.345490,0.000846,0.109456,0.203034,0
39,1405476584,33.591408,61.041485,145.311478,-0.027709,-0.031079,0.179590,0
40,1405493251,33.688110,60.901398,145.300140,0.002207,-0.086421,0.145700,0
41,1405509918,33.834175,60.757607,145.325790,-0.010164,-0.052782,0.097552,0
42,1405526585,34.026619,60.618347,145.391083,-0.088947,-0.084711,0.033109,0
43,1405543252,34.266876,60.486488,145.498169,0.045037,-0.052980,0.009212,0
44,1405559919,34.539173,60.373886,145.624832,0.157927,-0.077626,0.043786,0
45,1405576586,34.785675,60.286728,145.765076,0.039626,-0.162774,0.131367,0
46,1405593253,34.969650,60.221268,145.905411,0.091180,-0.114091,0.106793,0
47,1405609920,35.058319,60.170643,146.021194,-0.098023,-0.151120,0.220469,0
48,1405626587,35.053452,60.135895,146.115143,0.074832,-0.148669,0.159382,0
49,1405643254,35.016388,60.105831,146.194412,0.054094,-0.102152,0.189775,0
50,1405659921,34.952793,60.074665,146.272644,0.008667,-0.057983,0.277801,0
51,1405676588,34.897778,60.034100,146.360107,0.095077,0.038071,0.266689,0
52,1405693255,34.871536,59.983089,146.462006,0.120395,0.112295,0.247323,0
53,1405709922,34.856213,59.909523,146.583145,0.157702,0.182057,0.349801,0
