sep=,
DeviceTag:,LW-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-06-23_14:28:55_534 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,1518603037,99.982513,80.536148,-149.132141,-0.085693,-0.078209,0.011415,0
2,1518619704,100.049927,80.375458,-149.194412,-0.052055,-0.043353,0.068884,0
3,1518636371,100.119072,80.250717,-149.274582,0.044640,-0.079964,0.033264,0
4,1518653038,100.451324,80.195122,-149.114212,0.111419,-0.044105,0.003724,0
5,1518669705,100.879715,80.193298,-148.820190,0.075446,-0.103377,-0.053525,0
6,1518686372,101.371689,80.193146,-148.461090,-0.018014,-0.163102,-0.050316,0
7,1518703039,101.859230,80.161789,-148.073822,-0.115638,-0.278120,0.058743,0
8,1518719706,102.275063,80.087502,-147.727646,-0.103712,-0.252714,0.095025,0
9,1518736373,102.595848,80.002953,-147.442398,-0.028741,-0.164263,0.075583,0
10,1518753040,102.845924,79.932678,-147.223206,0.151888,-0.181549,-0.007071,0
11,1518769707,103.200188,79.880112,-146.938538,0.149142,-0.124269,-0.047055,0
12,1518786374,103.619766,79.835854,-146.633514,0.181837,-0.105104,-0.080206,0
13,1518803041,104.134300,79.792282,-146.306900,0.243771,-0.140918,-0.135874,0
14,1518819708,104.757095,79.744530,-145.943710,0.066384,-0.126386,-0.107354,0
15,1518836375,105.375702,79.682503,-145.619186,0.099882,-0.115608,-0.074551,0
16,1518853042,106.027473,79.603615,-145.315353,0.018190,-0.033255,-0.031507,0
17,1518869709,106.724876,79.511368,-145.016388,0.104524,-0.053210,-0.008030,0
18,1518886376,107.475243,79.408905,-144.732452,-0.108529,-0.134067,0.066968,0
